	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Cortisol synthesis and secretion	63	KEGG	11088.842166667115	11239.314688811679	11055.668688991474	11312.177204970592	10349.814477777822
Cysteine and methionine metabolism	45	KEGG	13672.230636285192	12961.610998630522	13543.237920267433	13040.015682327532	13693.332356221641
Cytokine-cytokine receptor interaction	270	KEGG	9799.272689309468	8755.320708486252	10195.84641548767	10251.933334259562	10398.00372112908
Cytosolic DNA-sensing pathway	64	KEGG	2573.27418836563	6857.392628461804	1664.088326105651	5039.983554521472	5065.228702012434
D-Arginine and D-ornithine metabolism	1	KEGG	1485.0000000000002	4633.000000000001	2787.9999999999995	3002.0	1223.0000000000002
D-Glutamine and D-glutamate metabolism	5	KEGG	13844.844002709886	13557.648922150269	13706.727210419034	13320.998298866503	13313.662419345204
DNA replication	36	KEGG	14665.799595624301	15756.867874262502	14773.165465547021	15392.111900127513	14260.927965592688
Dilated cardiomyopathy (DCM)	90	KEGG	10133.417359708259	10954.05982628296	10725.760479115037	10539.793615932585	10009.694460874602
Dopaminergic synapse	131	KEGG	11397.960422867178	12233.805760293222	11794.040507658066	12434.780066186657	11420.000866859466
Drug metabolism - cytochrome P450	70	KEGG	4472.632963446187	4128.984701821302	5249.232835946473	4126.307339913597	6750.8913224298385
Drug metabolism - other enzymes	79	KEGG	6634.72667812317	3305.610151524137	6463.795378095557	3688.928206459412	4381.760422348577
ECM-receptor interaction	82	KEGG	11087.950808520585	12426.662351699522	11234.258200424101	12731.564210292861	11887.599405726798
EGFR tyrosine kinase inhibitor resistance	78	KEGG	13822.423981340991	14673.85201703064	13764.708041434273	14810.001642582372	13867.509946885772
Endocrine and other factor-regulated calcium reabsorption	47	KEGG	12368.877452355284	13118.670434848711	12547.462216055377	12920.242776687863	11966.05436890551
Endocrine resistance	95	KEGG	11816.184477951978	14666.211395315875	13681.27723648683	14761.846870415653	13933.750182971262
Endocytosis	244	KEGG	14700.71205071725	14846.209396641534	14599.192326212436	14926.305828597004	14580.037828849298
Endometrial cancer	58	KEGG	15596.349173980376	15509.902469027105	15666.13699062412	15445.44355121975	15480.742461777269
Epithelial cell signaling in Helicobacter pylori infection	68	KEGG	12988.120394102296	14662.950537262286	13880.932799020846	14833.58981533183	14420.550018319618
Epstein-Barr virus infection	203	KEGG	14846.61826283261	15326.296117542755	14954.519379472322	15319.176533417769	15146.75213342869
ErbB signaling pathway	86	KEGG	14059.144158783376	14212.279690008227	14005.943435760222	14702.764414241112	14406.871910530406
Estrogen signaling pathway	137	KEGG	6125.3121458289725	9106.059576861428	7163.535141149259	9492.394408649601	8402.303009602067
Ether lipid metabolism	47	KEGG	10700.937400663033	11877.418227192255	11574.672098857562	9834.122036353772	11652.162558170357
Fanconi anemia pathway	55	KEGG	15889.864892769545	16428.001526100925	14833.544090497293	15514.84437543827	15067.686120902294
Fat digestion and absorption	41	KEGG	4951.335360608578	6207.790580398922	5087.398510228582	5074.4568947196985	4245.610016067823
Fatty acid biosynthesis	13	KEGG	12998.634304022975	12869.30327486687	12474.582834384062	12956.76088787584	12953.871569678278
Fatty acid degradation	44	KEGG	13721.909021609135	5318.79190914253	13104.718465179909	13265.343969374877	13133.295322807207
Fatty acid elongation	25	KEGG	13608.463178016438	14561.17876319296	13394.077881412599	15227.138061521031	14016.748528842956
Fc epsilon RI signaling pathway	68	KEGG	13383.458000765117	13413.841399837786	13334.429126578952	10421.520831152538	13510.992435393351
Fc gamma R-mediated phagocytosis	91	KEGG	13948.05273254273	14053.945410157612	14035.091365780338	14488.552696867564	14223.19285363962
Ferroptosis	40	KEGG	14997.519503466205	14323.953206890055	14545.549530862692	14430.19171769319	15550.290284474575
Fluid shear stress and atherosclerosis	139	KEGG	14158.999589844901	13651.606698613126	14010.65084092559	14056.435413068595	13797.784388620732
Focal adhesion	199	KEGG	13536.422312392293	14706.847124385762	13500.454896308049	14951.792121232473	13674.74629150643
Folate biosynthesis	26	KEGG	11319.009698045289	10790.922088247666	11787.276349835734	12054.994123338656	12318.242111137777
FoxO signaling pathway	132	KEGG	13066.550195400185	14361.817688737825	13494.450856895004	14480.701714601302	13385.341734743894
Fructose and mannose metabolism	33	KEGG	13229.900004620515	12768.081997445472	13441.029774505163	12702.335546803417	13383.462194974389
GABAergic synapse	88	KEGG	7891.904890304779	5824.748428772106	8862.599962978913	6902.3795956174135	7470.879034273907
Galactose metabolism	31	KEGG	8460.676809638893	11664.906385618526	2020.5324711522942	10583.66321789181	10094.290620793923
Gap junction	88	KEGG	12347.644268676646	13105.229894826476	12262.150038636015	13086.339973369126	12166.467317050403
Gastric acid secretion	75	KEGG	10491.876419442018	7534.266245741516	10098.876494658925	7061.87846663296	9625.399401535802
Gastric cancer	149	KEGG	11706.85232398935	6289.615462451443	12393.401588380953	13239.37310872475	11141.685226463953
Glioma	71	KEGG	13802.554572181243	14028.778813786537	13753.506787751878	14297.80873111241	13707.943055803747
Glucagon signaling pathway	103	KEGG	10678.462997664068	12358.293307093487	12018.608251069716	12260.734833986144	11608.552376271282
Glutamatergic synapse	114	KEGG	10610.57142343924	8371.94703962193	11270.031954983537	9455.610617466538	9039.16740969634
Glutathione metabolism	54	KEGG	13232.687179158273	10315.634965737501	13911.602059564502	12456.785168231225	14397.45491268713
Glycerolipid metabolism	61	KEGG	8319.299753019739	10103.347634014968	8988.52886587646	10985.756262139972	9769.28668340498
Glycerophospholipid metabolism	97	KEGG	12299.935877151109	16732.14251061021	13228.754875482933	16501.169935528604	13575.276066114016
Glycine, serine and threonine metabolism	40	KEGG	12099.204650536843	12696.072190455665	9660.076878050233	12210.826375780538	13242.869712026526
Glycolysis / Gluconeogenesis	68	KEGG	10180.144680424284	8357.866549432678	10218.498606778496	11485.269755376085	11720.640473334875
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	KEGG	14039.196818545504	15057.446401370446	13652.069581400856	15317.698861960622	13900.768992846937
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	KEGG	8588.35606193021	14739.133944506402	13406.353678558211	14866.518393263468	12480.10462452491
Glycosaminoglycan biosynthesis - keratan sulfate	14	KEGG	13761.612831401582	14382.858621604531	14038.00773252711	14362.762543789328	15241.216249861616
Glycosaminoglycan degradation	19	KEGG	12481.153972988905	14200.814066045043	14247.742516040213	13801.319275269798	13440.034649292027
Glycosphingolipid biosynthesis - ganglio series	15	KEGG	12919.644250540381	13978.071259237473	13304.443757426832	14075.962335520926	13254.120461708113
Glycosphingolipid biosynthesis - globo and isoglobo series	15	KEGG	13122.744765724989	12562.079753714805	13415.07702014993	13361.36905184556	13734.934731964138
Glycosphingolipid biosynthesis - lacto and neolacto series	27	KEGG	13037.707259007808	13191.749318823495	13146.458375519287	12800.715318982242	14292.536729317335
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	KEGG	14197.310891643008	14005.819210221218	13933.039652644298	14035.792189092988	14076.819178381415
Glyoxylate and dicarboxylate metabolism	28	KEGG	11495.133206577066	14111.409538939934	7225.28599513563	13445.60125345949	13527.443487952969
GnRH signaling pathway	92	KEGG	12017.949635475823	11579.457825177338	12367.60380935319	12281.974854978249	11908.530610350917
Graft-versus-host disease	41	KEGG	8244.981579030613	9615.40081771543	9676.086570948453	8807.904096380522	11722.194714889089
HIF-1 signaling pathway	100	KEGG	11761.102969091566	14124.209124141033	13257.49623491087	14304.071885302452	13371.554190626694
HTLV-I infection	255	KEGG	13339.282527481604	12730.559879502036	13438.293279888618	13622.672626154195	13589.139832337549
Hedgehog signaling pathway	47	KEGG	13006.984833184437	13393.481059312837	12993.167132792856	14000.419002542572	13268.436175506367
Hematopoietic cell lineage	97	KEGG	10528.585975829172	10189.242785659639	9964.522068139913	9881.855404864678	10545.712484600257
Hepatitis B	144	KEGG	9802.10470670799	13190.355983847321	10907.810294600878	13205.39373127638	12992.981805818143
Hepatitis C	131	KEGG	6286.214527970485	10940.101923469132	5358.723445909669	7347.529643101751	9936.40789770604
Hepatocellular carcinoma	168	KEGG	13453.987327505012	11253.732023886569	13462.349850233008	13457.191517165631	13133.524124130678
Herpes simplex infection	185	KEGG	10431.206207661004	13156.469303670927	11182.648950474684	12332.216579955952	13304.156663690324
Hippo signaling pathway	154	KEGG	12769.637547873846	12336.788371321047	12801.466426319927	12695.43390703421	12257.938734577601
Hippo signaling pathway - multiple species	29	KEGG	14564.380485705386	14686.563223615409	14562.672596670536	14733.431901525826	14467.18512948161
Histidine metabolism	23	KEGG	10890.077143094733	10310.638514124252	10661.116912987565	8646.162719122836	9985.096092400294
Homologous recombination	41	KEGG	12779.709531149187	13300.290235720022	12787.774561057691	13444.00522574946	12724.95866064139
Human papillomavirus infection	319	KEGG	11330.25892216891	12536.911746241343	12504.50610349618	13010.090564631311	12725.63862555027
Huntington's disease	193	KEGG	15910.818534662956	15260.508440918198	15750.677409048572	15157.313892576327	15698.126284355452
Hypertrophic cardiomyopathy (HCM)	83	KEGG	9793.545343781034	11190.119269376875	10164.83674766736	10636.665691151824	9714.564491989544
IL-17 signaling pathway	93	KEGG	8376.044840237344	10504.16814118808	8534.23007948884	10011.28993736757	10231.17657507884
Inflammatory bowel disease (IBD)	65	KEGG	9044.390538867268	8768.417064975682	8661.954623105834	7103.72234803638	10032.159882159964
Inflammatory mediator regulation of TRP channels	97	KEGG	13083.699470444997	11988.43655586434	13057.572302603692	11439.98509724343	12581.06659491515
Influenza A	173	KEGG	8507.984126101586	12282.784202244105	10958.120647568076	11803.575962735278	13136.856990786035
Inositol phosphate metabolism	73	KEGG	14164.1654013458	13870.07769732294	14146.992092117685	14161.118570893674	14272.613476309558
Insulin resistance	107	KEGG	14107.827748572605	14209.2332554143	13828.745496226664	14407.468974634565	13775.101734613141
Insulin secretion	85	KEGG	11115.699205974757	9573.400410601087	10304.613159918947	8676.694055362263	10473.562672242257
Insulin signaling pathway	138	KEGG	11796.498152371465	13698.74006597151	13074.130548849054	13726.675540159793	13319.220690120046
Intestinal immune network for IgA production	49	KEGG	9146.119885293914	9383.915407036693	10085.682924739123	9555.581442768265	9760.10017865912
Jak-STAT signaling pathway	162	KEGG	6068.043640265209	6486.060965115125	9116.758318889139	1035.6847157677248	6278.326133440743
Kaposi's sarcoma-associated herpesvirus infection	186	KEGG	9290.047268810937	12783.072837206257	11590.533860707956	11907.56006554639	12632.508271958119
Legionellosis	55	KEGG	13869.336402593986	13420.052780809629	14026.61738082447	13651.122583350267	14340.570084754308
Leishmaniasis	74	KEGG	12982.112984565332	12883.975684197296	13015.708007910966	13363.191459443804	13730.300465594326
Leukocyte transendothelial migration	112	KEGG	12614.613847822979	12933.875130870543	12416.539628527646	12853.234133888727	12804.60599289516
Linoleic acid metabolism	29	KEGG	8506.70939631011	5837.623402450214	8309.882610355407	5589.09421051415	8080.158104521777
Lipoic acid metabolism	3	KEGG	11749.738681799852	10618.043795439817	11308.604306874004	10579.98986579899	11874.431024611622
Long-term depression	60	KEGG	11938.758140189051	12459.84682623715	11771.308746750728	12660.791979965898	7008.414294636019
Long-term potentiation	67	KEGG	12162.567958867363	11792.551169715636	12091.237574951534	12012.58113628443	11850.046067505154
Longevity regulating pathway	89	KEGG	13216.74797580599	14517.403631649244	13987.106709121988	15114.812587847653	13598.777015165106
Longevity regulating pathway - multiple species	62	KEGG	11950.429851821757	13985.104950497825	13438.743118598664	14539.70464418118	13635.147703039172
Lysine degradation	59	KEGG	13862.78960382099	14751.753322223247	14307.650713159052	14899.02277365118	14464.009741741225
Lysosome	123	KEGG	15375.21193042301	15501.990284342899	15349.350854298944	15324.309766841989	15702.738213528603
MAPK signaling pathway	295	KEGG	11755.194398555604	12142.86017734024	12032.946245316623	12719.80372295448	11935.276335139142
Malaria	49	KEGG	13171.317425055351	12641.385812393306	12787.479482357676	11088.233700835108	12108.18462803243
Mannose type O-glycan biosynthesis	23	KEGG	12572.962570431386	12966.004009317558	12336.010711483683	13771.496161154604	12789.083179192514
Maturity onset diabetes of the young	26	KEGG	6676.378234908871	3409.464734077971	6859.857797562725	3487.7829148859773	7171.255818047391
Measles	134	KEGG	7364.970744716335	11181.080558196762	6668.045883062877	7788.731908000093	11949.46636840013
Melanogenesis	101	KEGG	12423.295476919206	11364.447093692012	12399.215890264944	11836.173842044886	12272.83294090935
Melanoma	72	KEGG	11658.179875324638	5996.784639576415	12546.574652579555	12408.529793866704	10285.356615291515
Metabolic pathways	1269	KEGG	20053.533611067167	20214.56858707003	20063.55804329011	20274.698987629803	19831.115405574834
Metabolism of xenobiotics by cytochrome P450	74	KEGG	4635.143247502604	6548.251150828255	5087.579793058825	4718.233353310688	5925.570418545841
MicroRNAs in cancer	299	KEGG	13338.414586545196	14033.044326597812	13376.76793454757	13982.645068731019	13360.835616458518
Mineral absorption	51	KEGG	10779.91375734359	10741.147956609562	11065.826442596976	10033.588643433033	11465.673354774892
Mismatch repair	23	KEGG	14401.296487665288	14798.040247626443	14178.92640103927	14477.266029342692	13639.091758047845
Mitophagy - animal	65	KEGG	16100.496244318145	16735.86484653549	15840.988243505248	16567.12081458502	16130.36561720546
Morphine addiction	91	KEGG	10520.663540171246	8679.26923582408	11351.26599748629	9120.092734851707	10191.717258319695
Mucin type O-glycan biosynthesis	31	KEGG	13188.440029602667	13379.686319941442	14114.93795492994	11691.087296427948	13711.348626168012
N-Glycan biosynthesis	49	KEGG	14620.331129973409	14642.558449460214	14644.029162923905	14745.504223829896	14641.331900141617
NF-kappa B signaling pathway	95	KEGG	13905.474434871512	13326.574191907	13388.818054424662	13393.598044779908	13745.423474300116
NOD-like receptor signaling pathway	168	KEGG	8897.874725536141	11544.340313157436	8087.369987266048	11406.834445455035	12117.020477954187
Natural killer cell mediated cytotoxicity	133	KEGG	6632.478902314937	7819.2255267571745	5812.454091080289	8007.824846457781	8564.165473828256
Necroptosis	164	KEGG	8061.293473026754	9782.078794007462	7290.9889832776535	8628.86273379035	10674.627785226172
Neomycin, kanamycin and gentamicin biosynthesis	5	KEGG	9897.53325891255	8127.60569012213	10047.433344729361	7188.434211140849	10083.476519623191
Neuroactive ligand-receptor interaction	278	KEGG	8418.629904643714	8996.39828572554	7672.68829476206	9841.752792525438	7569.46917877849
Neurotrophin signaling pathway	119	KEGG	13615.712636421176	14068.14953256026	13465.030219517173	14327.090915084407	13704.38687431581
Nicotinate and nicotinamide metabolism	30	KEGG	13824.578734085007	14408.739196373908	11204.70578281227	14690.012914295336	13500.070566385099
Nicotine addiction	40	KEGG	6250.162994037539	8135.56848994449	5536.430027866588	7869.259555968085	4915.687610173243
Nitrogen metabolism	17	KEGG	9823.549982109944	7098.0685729682355	10019.8920719348	9691.494429701535	9937.427829812394
Non-alcoholic fatty liver disease (NAFLD)	149	KEGG	15217.577845511973	15787.004620966089	15574.750644880936	15726.189206309962	15620.810275798724
Non-homologous end-joining	13	KEGG	11402.137813798052	11267.394145326021	11254.697086485166	11690.09568479472	12415.647904949885
Non-small cell lung cancer	66	KEGG	15071.568190398968	14945.811064941061	14902.46468422019	15238.276998433375	14616.969452538957
Notch signaling pathway	48	KEGG	14639.17942405162	15987.320560453585	14776.117047492584	15749.91834066583	14447.232298155443
Nucleotide excision repair	47	KEGG	14604.474138431977	15065.268777434363	14559.58499647789	14847.438819569124	14444.871701299155
Olfactory transduction	418	KEGG	3091.4451615521766	4881.738370076923	3089.11105101623	3114.0175031570966	2440.9137659304542
One carbon pool by folate	20	KEGG	14476.692706723645	14650.73860192638	14572.549176581397	14061.409272367117	14586.892796804306
Oocyte meiosis	124	KEGG	11709.159861205428	12274.75988535956	12236.584780305564	12746.011009048923	12328.043403228263
Osteoclast differentiation	128	KEGG	12444.011001465042	13028.331450355157	12589.1518771303	13834.212610130797	12706.40462198565
Other glycan degradation	18	KEGG	14819.016809583854	14845.204933742802	5234.022042119437	11871.634974158022	15053.952822561552
Other types of O-glycan biosynthesis	22	KEGG	15424.953985560162	15567.25607855963	15450.435924500722	15590.107350373477	14559.627578783862
Ovarian steroidogenesis	50	KEGG	12321.097603456526	4223.2427957773225	10014.858868968286	5482.388582594365	8526.034203244684
Oxidative phosphorylation	133	KEGG	15942.745503581169	16579.735777355963	16452.648705765343	15711.93908445	16620.435015813593
Oxytocin signaling pathway	153	KEGG	10801.682970178104	11997.746088407019	11464.70411039459	11982.096753044716	11206.63082981684
PI3K-Akt signaling pathway	352	KEGG	6873.407862488271	11436.498407400159	10590.47617590054	11392.942639639812	10945.3566717063
PPAR signaling pathway	72	KEGG	10608.219386125527	9888.344331385062	11556.580864029955	9952.725151574168	11201.885098878392
Pancreatic cancer	75	KEGG	14972.270780054634	15449.603471093329	15048.183356415042	15426.374833676455	14762.690911316171
Pancreatic secretion	96	KEGG	8465.560845405575	6286.66767917555	8690.94763650661	5448.003177761938	8854.645410713907
Pantothenate and CoA biosynthesis	19	KEGG	13288.047957347582	12751.444500991436	12470.385101703594	12538.539778193419	12798.554364693602
Parkinson's disease	142	KEGG	16019.74984818733	16458.674776866563	16028.554675809513	16477.96211771183	16127.844724959894
Pathogenic Escherichia coli infection	55	KEGG	15853.026635694489	15455.515186090839	15827.872862672306	15725.158927452012	15699.644312016726
Pathways in cancer	528	KEGG	11975.71116827565	11813.004515450319	12322.808739923707	12808.193140934627	12294.53522128936
Pentose and glucuronate interconversions	34	KEGG	5640.997519261256	3734.264340940085	5035.062453565869	4041.3006044389567	4698.8437169317585
Pentose phosphate pathway	30	KEGG	12202.042675484727	13075.082377434057	12405.56324028607	12758.517449814655	11613.45636242331
Peroxisome	83	KEGG	13164.007011067488	13539.090369901942	12663.370671844592	12932.6756875731	13140.692571193478
Pertussis	76	KEGG	12768.91255914851	11518.22352725988	12928.33771027473	13026.9968805481	13081.842022269591
Phagosome	152	KEGG	13453.319916225293	13987.124052914753	13718.174490853766	14338.425911683393	13867.491292526569
Phenylalanine metabolism	17	KEGG	10302.422426510242	8824.637272954757	10302.300541092585	7918.950627617615	9453.803369957059
Phenylalanine, tyrosine and tryptophan biosynthesis	5	KEGG	9630.443895788902	8632.680927992204	10261.69097004822	8872.212168015269	11108.968231159424
Phosphatidylinositol signaling system	99	KEGG	13418.813379641535	13192.638716628007	13823.586495529471	13606.497767220042	13778.209711223193
Phospholipase D signaling pathway	146	KEGG	12556.186686223631	13035.201829246285	12506.076963139833	13284.333973947336	12741.534872681541
Phosphonate and phosphinate metabolism	6	KEGG	15018.160769333148	13733.848731463486	13995.689072109515	14167.70462220177	14346.65653550388
Phototransduction	28	KEGG	6845.551502872947	8230.547748938243	6939.619220567144	7725.780670069599	6257.597579944706
Platelet activation	123	KEGG	12359.671857482334	13299.897552428623	12399.123603168173	13429.186256338433	12691.282665720026
Platinum drug resistance	73	KEGG	14622.49964887061	12775.901296197337	14291.279988005454	13599.91207318179	14666.4572240798
Porphyrin and chlorophyll metabolism	42	KEGG	3201.725550748445	3051.553485761878	3018.4731156573	3239.8041361893092	2761.295278136025
Primary bile acid biosynthesis	17	KEGG	11403.396678072342	11239.527299316262	11601.922656616909	9905.669723819145	9681.290026998007
Primary immunodeficiency	37	KEGG	14531.962921779083	14453.993920284784	14650.937487105886	15762.189011207098	14059.785521307113
Prion diseases	35	KEGG	9937.988969799691	12901.291881503268	12975.180610595413	12613.880382749116	12141.444494993444
Progesterone-mediated oocyte maturation	99	KEGG	11870.690336642709	12675.40588627165	12233.60025986048	12881.504182403485	12253.846371040416
