	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Basal cell carcinoma	63	KEGG	1.1632034298597012	1.1004982911010592	1.1582130847465495	1.1309091312832527	1.1151187546944292
Basal transcription factors	45	KEGG	1.6097309921399692	1.6224444782020793	1.5697907410873773	1.7289932744534153	1.5578422896044986
Base excision repair	33	KEGG	1.9084233327867834	2.0050472122202927	2.0192841958178667	1.8416399821836567	1.9776994554020668
Bile secretion	71	KEGG	1.0942838227480642	1.297927740242356	1.0373839258043076	1.5175246841139722	1.0272206783529771
Biosynthesis of unsaturated fatty acids	23	KEGG	1.4602449525677847	1.6674500992988075	1.4476514610148226	1.6638395956374632	1.5375658788256348
Biotin metabolism	3	KEGG	1.7703329546219475	1.6972112440877394	1.7719703026248106	1.7919518905282428	1.7995247356095132
Bladder cancer	41	KEGG	5.117003652173636	3.6690646448973863	3.2418193245039912	2.5625207285137566	3.73173914178315
Breast cancer	147	KEGG	1.7426638980079752	1.6519211661311102	1.4302696194205837	1.545561243459089	1.7047995944178709
Butanoate metabolism	28	KEGG	1.3210135078433332	1.1134230754446324	1.3557023937929868	1.1217674042013797	1.2859549025629056
Caffeine metabolism	5	KEGG	0.8330752551360595	0.8370066497703178	0.8678103379080858	0.8818847253329671	0.8948935472812563
Calcium signaling pathway	182	KEGG	1.0296545287347205	2.0244527940329595	1.0624885120966274	1.2905097008699413	1.0513933896093592
Carbohydrate digestion and absorption	44	KEGG	1.3542370173939262	1.1405031362371223	1.280044106534094	1.360990635496042	1.4579066988176903
Carbon metabolism	116	KEGG	2.06889201318482	2.9150917784740247	2.0559860693926453	2.27148587463073	1.9021478791333482
Cardiac muscle contraction	78	KEGG	4.350572311542376	3.1898100176282154	4.194593587405727	3.663463945240231	4.750129364050956
Cell adhesion molecules (CAMs)	145	KEGG	3.129493628881418	1.4852163218693089	1.2382138336234816	3.639442123528021	3.7180610036801895
Cell cycle	124	KEGG	1.2038207249458404	1.8260934146103567	1.2488234989737086	1.4037463953006828	1.2595945620517157
Cellular senescence	160	KEGG	1.6897722478813575	2.3107772557632784	1.5292933115038858	2.3617423441379373	1.723193865921401
Central carbon metabolism in cancer	65	KEGG	2.259013137644498	1.8826663092633313	2.252540981505951	2.1467782114235665	1.975163401691937
Chagas disease (American trypanosomiasis)	102	KEGG	1.318922519691983	1.5533623549391014	1.2728928117129497	1.528771144338636	1.300959056465472
Chemical carcinogenesis	82	KEGG	1.5649192237107157	1.0333042425475811	1.3928890075816547	1.6315270670062727	1.3915404392923356
Chemokine signaling pathway	185	KEGG	1.09779593659781	1.274045442946049	1.1024383298093665	1.4740434492677896	1.1207236615209044
Cholesterol metabolism	50	KEGG	2.393896445878509	1.7614240293268346	2.604350996842796	2.104118678020482	2.253998582263032
Choline metabolism in cancer	99	KEGG	1.4229428635542973	1.5919330111995595	1.398083012671204	1.5690194632689802	1.403433956849613
Cholinergic synapse	112	KEGG	1.1037668036452943	1.63666807292074	1.086590820388664	1.367966560366455	1.1022045212328961
Chronic myeloid leukemia	78	KEGG	1.7771303619632717	2.0637301468755216	1.991687903091071	2.543199387084284	2.2420122021180577
Circadian entrainment	96	KEGG	2.7509042121963136	3.369321833466278	1.4423712081488478	3.0459354707878514	2.113792790362531
Circadian rhythm	31	KEGG	1.6720387481563963	1.65036693060008	1.7085710251212087	1.8510900371814283	1.7058625001844607
Citrate cycle (TCA cycle)	30	KEGG	3.3290225987497926	3.2660873077782875	3.39940634938584	3.443604403327162	3.2355268963210255
Cocaine addiction	49	KEGG	3.007841936952202	3.7621832235668924	2.9954525309534046	2.0445023772869866	1.9136502839142724
Collecting duct acid secretion	27	KEGG	2.2280741980882115	2.468268359164491	2.0570414785392512	2.1355048237145415	2.7694057921082322
Colorectal cancer	86	KEGG	1.6285916335117443	1.8341320537953996	1.581799602231472	1.8848078718555505	1.6767223936693387
Complement and coagulation cascades	79	KEGG	2.3546518887131884	4.6803085925400465	2.5003454074400797	5.139771574044302	4.163474865342422
Cortisol synthesis and secretion	63	KEGG	1.13523295558693	2.1577314776090426	1.3508596713014267	1.4436993383261174	1.089303151220912
Cysteine and methionine metabolism	45	KEGG	1.9446304384652082	1.6377541933694342	2.677897489746601	1.4749845021537877	2.804367671296141
Cytokine-cytokine receptor interaction	270	KEGG	0.7646921543349291	0.8080888145425309	0.7583156150334077	0.8073273824563437	0.8088001762884462
Cytosolic DNA-sensing pathway	64	KEGG	1.1791068752802667	1.2244373337443768	1.2349164093027223	1.2557196599722453	1.2548320577807814
D-Arginine and D-ornithine metabolism	1	KEGG	1.0779084418311633	1.2913207547169814	1.1570583262890954	1.171182476755462	1.0632832729155877
D-Glutamine and D-glutamate metabolism	5	KEGG	2.061677516250267	2.1044075388445798	2.045618208181809	2.4846047003312783	2.1452661716117327
DNA replication	36	KEGG	1.7258124363328637	1.882758270770272	1.780982684987894	1.8417927015842834	1.7124783871380556
Dilated cardiomyopathy (DCM)	90	KEGG	4.240180069850103	22.60559200101713	4.628580449417662	6.639732135501855	4.798295382873853
Dopaminergic synapse	131	KEGG	1.6635175923445227	2.16698927147679	1.3714433482857131	2.233524717406967	1.8745244822238745
Drug metabolism - cytochrome P450	70	KEGG	1.890378179748106	1.126415688019754	1.455982494277353	1.7341978921665666	1.6177513675285153
Drug metabolism - other enzymes	79	KEGG	1.6972010857372262	1.385765726888481	1.5404813226986587	1.4604752831317496	1.6852303876913728
ECM-receptor interaction	82	KEGG	1.6416761765104944	9.992617874442264	1.5014179959556213	5.185048439677337	1.6204181688639243
EGFR tyrosine kinase inhibitor resistance	78	KEGG	1.3612435147593263	1.8984909091860755	1.3514378991897003	1.8665129545657593	1.3804287501420156
Endocrine and other factor-regulated calcium reabsorption	47	KEGG	3.5573831080252027	3.5605205412357437	3.105439535849398	3.5318365092539823	2.9078314783207633
Endocrine resistance	95	KEGG	1.3353830931793056	1.9060958562308832	1.392139348292242	1.913062641675802	1.366290932335661
Endocytosis	244	KEGG	1.7385436510747119	2.2459694129535412	1.6660838347498415	1.9944760671725932	1.647754456644509
Endometrial cancer	58	KEGG	2.103842630858347	1.9796554737637961	2.4971529055148443	1.9914704078691525	2.2870532561678414
Epithelial cell signaling in Helicobacter pylori infection	68	KEGG	1.675855554975756	2.241508823898589	1.6786257505655364	1.9810937569133524	1.667257522946072
Epstein-Barr virus infection	203	KEGG	1.616476599834762	1.91611114387467	1.5950731901516582	1.8712398741376401	1.6364599262574937
ErbB signaling pathway	86	KEGG	1.3326797370369565	1.7872177784162857	1.2887883936273037	1.763727509009863	1.3261431425675692
Estrogen signaling pathway	137	KEGG	5.047425796100725	4.736293917341482	4.531216451304325	2.7952309032372717	3.331590420431808
Ether lipid metabolism	47	KEGG	0.9644144843231787	0.9629813943317617	0.972895442451935	0.9596866729592963	0.9460584435591459
Fanconi anemia pathway	55	KEGG	1.2237222906807192	1.2401414201778012	1.2257102538599538	1.247953702279503	1.238846086250205
Fat digestion and absorption	41	KEGG	0.7299053121309526	0.7360753160910233	0.7504452450644842	0.7123415797052585	0.7199096517511744
Fatty acid biosynthesis	13	KEGG	1.4344888758809948	1.2262578758945295	1.2937823032827027	1.3537528433701302	1.315922762933843
Fatty acid degradation	44	KEGG	1.6010965670645363	2.009978190106289	1.6395669107865012	1.876680234732489	1.5124577520098945
Fatty acid elongation	25	KEGG	3.9566986154913315	2.6355961828713266	2.652429275750183	2.9197988075671253	4.306453684985425
Fc epsilon RI signaling pathway	68	KEGG	1.3272885637826095	1.4268836741987667	1.335540389547957	1.62128800518898	1.444971459958186
Fc gamma R-mediated phagocytosis	91	KEGG	1.3645689277302315	1.4311219021273065	1.3899662404957118	1.6547250123253243	1.5128555231369365
Ferroptosis	40	KEGG	1.9344183657065517	4.025614702165225	2.4723727656271186	3.3536080356891316	2.5415657142474877
Fluid shear stress and atherosclerosis	139	KEGG	1.5659218728670052	2.222241201755506	1.526372451843977	2.3938021196836927	3.323304399945529
Focal adhesion	199	KEGG	2.3869676582629147	3.601640899053803	2.0249944475657387	3.0062635408241185	1.847880328958004
Folate biosynthesis	26	KEGG	1.1551876970007295	1.0905471228474646	1.1768505734201384	1.1645052594471117	1.2142965648382398
FoxO signaling pathway	132	KEGG	1.3975159332749563	1.8084820906949002	1.3966944895785172	1.9214431986936251	1.3534256214730243
Fructose and mannose metabolism	33	KEGG	1.7821060279795444	1.6806358638645382	1.731352875534413	1.470297097450055	1.820464940235626
GABAergic synapse	88	KEGG	1.2622977807930513	2.14920566440756	1.0717423338459289	1.6700041825049718	1.2546508333406077
Galactose metabolism	31	KEGG	1.8797163565318409	1.9058441384362517	2.1567730647507184	2.0689823648690635	1.696440231522933
Gap junction	88	KEGG	1.3870044313696996	2.1176932882475663	1.4180004846891847	1.6700734216075341	1.3262699469832262
Gastric acid secretion	75	KEGG	4.525973878078477	4.339490820838578	2.953025982257138	4.53384726955921	2.94186089453845
Gastric cancer	149	KEGG	1.2349721903919453	1.5922158364402506	1.2202346551675285	1.5019534060916062	1.2280493759457076
Glioma	71	KEGG	1.4950492805142694	2.1503766948377194	1.7221401065035162	2.1288912913875984	2.143339493512314
Glucagon signaling pathway	103	KEGG	1.4096411051860624	2.0701387867386916	1.5133516519686996	1.7598230644316044	1.5315671870847039
Glutamatergic synapse	114	KEGG	1.056608396141527	1.624041046836662	1.058666422857785	1.3527941345718295	1.0441119041067854
Glutathione metabolism	54	KEGG	2.820288607764552	1.9542735927744666	2.1942042053636537	2.1345191685856064	2.7311035777719166
Glycerolipid metabolism	61	KEGG	1.0916335909616435	1.0829909202832078	1.085634093629593	1.0695472528746974	1.0801695434602117
Glycerophospholipid metabolism	97	KEGG	1.1671315437184788	1.2586893545002158	1.170875470556341	1.251584532890151	1.2461324931629831
Glycine, serine and threonine metabolism	40	KEGG	1.3470416944533083	1.2422876672029346	1.388853386717119	1.2008836898350943	1.4142889052362324
Glycolysis / Gluconeogenesis	68	KEGG	2.7634658052217365	3.0490440344930048	2.875183258576816	3.0755349003909207	3.0521281035690113
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	KEGG	1.27474580898326	1.4607821705522936	1.2971562913325978	1.7303647153945838	1.3297057129946273
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	KEGG	1.2415057460298933	1.2073717174743077	1.202209799992346	1.2877183886498942	1.1522610163942746
Glycosaminoglycan biosynthesis - keratan sulfate	14	KEGG	1.40690482344996	1.4746213188920474	1.5056019150253053	1.8620817343225489	1.9436755462122237
Glycosaminoglycan degradation	19	KEGG	2.108747052818931	1.9085076296559536	2.3142601222873664	1.96168686209043	2.18483932321023
Glycosphingolipid biosynthesis - ganglio series	15	KEGG	1.3715181678097912	1.5563723825718958	1.4121552572739313	1.5615483284897786	1.614749966129847
Glycosphingolipid biosynthesis - globo and isoglobo series	15	KEGG	1.3045184776558374	1.3409635228280556	1.462008080355224	1.4504025739635715	1.4719061547978733
Glycosphingolipid biosynthesis - lacto and neolacto series	27	KEGG	1.0612211193959342	0.9489701733405543	1.0662716293927663	1.00605827895234	1.1977115370822335
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	KEGG	1.4681042172530332	1.6536615450294248	1.5117540843644839	1.6535498472743453	1.4753919679821403
Glyoxylate and dicarboxylate metabolism	28	KEGG	2.2705480506444347	1.852202252349106	2.2378918736156574	2.0502679577516467	2.2716721783888865
GnRH signaling pathway	92	KEGG	1.351350393704514	1.6446675303509941	1.362447471475765	1.536050526176683	1.391097504457827
Graft-versus-host disease	41	KEGG	9.446308771131525	7.187781600655038	11.974319299755736	16.678493690652523	11.293865619244555
HIF-1 signaling pathway	100	KEGG	1.7825196934395253	2.0816219497349913	1.77741574483469	1.8427725294810873	1.7650656355976384
HTLV-I infection	255	KEGG	1.3752270440537055	1.5237748586257835	1.3883224094516275	1.6507580396256625	1.5104173029074415
Hedgehog signaling pathway	47	KEGG	1.3859368412098554	1.5793172450662085	1.35271366831553	1.6441077700081628	1.3014031616453678
Hematopoietic cell lineage	97	KEGG	1.5880406091299777	1.2535074564084994	1.6188636165833414	3.7463524828304644	4.236242075462034
Hepatitis B	144	KEGG	1.4181860130607353	1.624718977205967	1.4620335773077568	1.538956279623177	1.4912490944770707
Hepatitis C	131	KEGG	1.3937671421450284	1.4992946440889825	1.4160387697422652	1.400892850333967	1.4063899644500166
Hepatocellular carcinoma	168	KEGG	1.4261495212900421	1.9059974543558222	1.590523485594361	1.9171490603900103	1.61619064923598
Herpes simplex infection	185	KEGG	1.5292509227686655	1.542999363887608	1.5980050779757007	1.5579222042056577	3.8007629214741283
Hippo signaling pathway	154	KEGG	1.2592934080658613	1.2154867586758418	1.2389159908270293	1.172355110670182	1.1633877020607295
Hippo signaling pathway - multiple species	29	KEGG	1.366250068892185	1.8571392101935922	1.3521287133687545	1.7269379507351366	1.3582158820254757
Histidine metabolism	23	KEGG	2.5098645661207093	2.6034242051977805	1.9322729829791823	2.2525544684084053	1.9052304495500634
Homologous recombination	41	KEGG	1.2216300544804868	1.223343883292878	1.2185214563454807	1.2230277648186174	1.2427341003183394
Human papillomavirus infection	319	KEGG	1.4520579713191004	2.0566323594891966	1.6309133098080002	1.8154822675669915	1.5070873153221462
Huntington's disease	193	KEGG	4.802137778005258	3.5309156538081	4.0910756240630235	4.015837126370319	4.328775396694815
Hypertrophic cardiomyopathy (HCM)	83	KEGG	5.950761107406044	36.25253072471303	4.4473920346578275	12.213975718189356	6.878103881694347
IL-17 signaling pathway	93	KEGG	3.1583139322666103	2.992340611073281	3.3081790044765547	1.3407045739711008	2.6659336582035693
Inflammatory bowel disease (IBD)	65	KEGG	1.8692584403625396	1.8930433428825229	2.819065303377575	2.7078785458084926	4.473343898959056
Inflammatory mediator regulation of TRP channels	97	KEGG	1.1837006369191965	1.2014522133465606	1.1777530431885697	1.2545261740359817	1.145729053649225
Influenza A	173	KEGG	1.4659410614129786	1.5350073809858824	1.4027324857059815	1.4868521361724913	1.759578680871662
Inositol phosphate metabolism	73	KEGG	1.3784896579886623	1.4458473468553874	1.3408125697743876	1.4979150674968442	1.4155364546203473
Insulin resistance	107	KEGG	1.3841082665047182	1.6160558355581833	1.377516485975079	1.645815792237052	1.334695788978944
Insulin secretion	85	KEGG	1.0596244063546643	2.063359201283196	1.0487362875448316	1.4831920374619447	1.0169052594744357
Insulin signaling pathway	138	KEGG	1.3969757337763535	1.9507161006927656	1.4279464435955296	1.8412153015963975	1.419687927671366
Intestinal immune network for IgA production	49	KEGG	1.913318188704256	2.4305034098767226	2.262003795146168	8.618604043954424	7.094330412694696
Jak-STAT signaling pathway	162	KEGG	1.0146108299285073	1.2232882822274143	0.9525909375014503	1.31464514987048	1.0430584157514324
Kaposi's sarcoma-associated herpesvirus infection	186	KEGG	2.255906513963372	1.9108020696241232	2.2230557925957317	1.5722560762701387	1.936747601873448
Legionellosis	55	KEGG	4.1251059885791665	2.434938333866452	3.024852925786714	2.4075899840588275	2.226676332522144
Leishmaniasis	74	KEGG	1.345897339866681	1.374529421587405	2.1946672426550378	2.2877575797730136	5.40484479871225
Leukocyte transendothelial migration	112	KEGG	5.630779500615767	6.675678677610937	5.142694410938269	6.204826289082541	3.970215602749556
Linoleic acid metabolism	29	KEGG	0.6777345221983232	0.6862831607988358	0.6909751591131452	0.6421652225928076	0.6689588341203251
Lipoic acid metabolism	3	KEGG	1.5621232587442717	1.3238273736379673	1.4946592485048869	1.3592944762879242	1.5667178467918517
Long-term depression	60	KEGG	1.6316117975327518	2.7379667315764125	1.6299620821106846	1.9591323004715855	1.827455343569034
Long-term potentiation	67	KEGG	1.6832516058008797	2.8867715961759064	1.5005340409066203	2.9382768252569686	1.9249429593186504
Longevity regulating pathway	89	KEGG	1.4780675277837911	1.8407238515415836	1.4680664639414152	1.9463271061577978	1.6037630906394622
Longevity regulating pathway - multiple species	62	KEGG	1.522600095434752	1.8340492637672636	1.4254930009277804	1.9235634752281	1.4737870234535138
Lysine degradation	59	KEGG	1.6769957627548249	2.702434453281912	1.5520720022222723	2.0786070967660035	1.5305117297335524
Lysosome	123	KEGG	2.3826823469614813	2.1022282887585697	2.2427144252535816	2.075884952437588	2.2775315496287742
MAPK signaling pathway	295	KEGG	1.187784534831746	1.5057695132453857	1.229003261966468	1.4894294479692185	1.1767040603852632
Malaria	49	KEGG	1.2936083429497123	2.7582300652103884	1.2596515935893087	21.571457123789077	1.2694486697426157
Mannose type O-glycan biosynthesis	23	KEGG	1.1433367270200758	1.2279084801832578	1.1944118850967789	1.2288105326363574	1.3500237094341931
Maturity onset diabetes of the young	26	KEGG	0.6320616794272937	0.6028851832543723	0.6305065366759907	0.5907668692826938	0.645547306363017
Measles	134	KEGG	1.3471848952704943	1.333811988667706	1.4092052414691738	1.365826075840432	1.6207078121373588
Melanogenesis	101	KEGG	1.158558139914537	1.2334273916423348	1.1186465233205722	1.3315735692336954	1.0931396065469996
Melanoma	72	KEGG	2.3340093958410835	2.0082232226077608	2.3974910380675647	2.1322431540807107	2.5192184517452407
Metabolic pathways	1269	KEGG	1.308615227263509	1.337081910823353	1.332527917354539	1.3313608087427635	1.3642808223270064
Metabolism of xenobiotics by cytochrome P450	74	KEGG	1.9657094363241698	1.2093658216844265	1.668387642218463	1.8196074206406243	1.59352138160673
MicroRNAs in cancer	299	KEGG	1.257079882186193	1.8210353455106036	1.2335912228137549	2.0963030289661493	1.3009193632877072
Mineral absorption	51	KEGG	6.849397049829268	6.737867272120446	6.2518796167211335	3.9833175036011403	8.843139319470387
Mismatch repair	23	KEGG	1.9309188534852528	1.6483115108521955	1.8395277503701055	1.718162295248729	1.8845533071233058
Mitophagy - animal	65	KEGG	2.0102538272034343	2.2454517615158553	1.7963699303855538	2.2587919308698488	1.9576226555423466
Morphine addiction	91	KEGG	0.9366309992363299	1.0795438224539406	0.967887159576974	1.1307358183614025	0.9309248574729586
Mucin type O-glycan biosynthesis	31	KEGG	1.1333457265819686	0.8910543188907383	1.1627923360878691	0.9066144493381318	1.192803829118531
N-Glycan biosynthesis	49	KEGG	1.669247651712323	1.6924394998495262	1.649918833645699	1.604308282252166	1.6814483829818885
NF-kappa B signaling pathway	95	KEGG	1.303214322797525	1.3028148247827058	1.2967521936274644	1.3192873278970516	1.346862553436381
NOD-like receptor signaling pathway	168	KEGG	1.3098376844865987	1.449290504380903	1.2992826069142003	1.4829653742750535	1.430863994502996
Natural killer cell mediated cytotoxicity	133	KEGG	1.445373083149572	1.5831158927058444	1.5858576606721995	1.8702042277716162	1.6202923205202509
Necroptosis	164	KEGG	1.5150590541829674	1.517490248982191	1.5646553384901176	1.5097011201135302	1.631012896240543
Neomycin, kanamycin and gentamicin biosynthesis	5	KEGG	1.2705635709598229	1.3514831246134456	1.2498483677941297	1.5137229317290182	1.2310243193716905
Neuroactive ligand-receptor interaction	278	KEGG	0.6332766594033412	0.6359512127052751	0.6260744020158073	0.6504435093022244	0.620695110914473
Neurotrophin signaling pathway	119	KEGG	1.3262883497145972	1.6670296262645063	1.453667806267531	1.679375476516013	1.617744445864968
Nicotinate and nicotinamide metabolism	30	KEGG	1.3833524852465973	1.3538231039340332	1.3721110063807336	1.3768901388804757	1.4315661747852182
Nicotine addiction	40	KEGG	0.6371155235746779	0.5973727629819663	0.6398146217186236	0.6334625797776803	0.6373627700147533
Nitrogen metabolism	17	KEGG	1.192895626968612	1.4738347817290238	1.1123472228075355	1.3653203200703703	1.2922299414792218
Non-alcoholic fatty liver disease (NAFLD)	149	KEGG	4.2020008195701966	3.653821511061424	3.9447944915429565	3.6359829645344326	4.3176429451338665
Non-homologous end-joining	13	KEGG	1.8494998602465913	1.6610150381170943	1.6725067306773576	1.7155526235197518	1.675382939002646
Non-small cell lung cancer	66	KEGG	1.568082373921195	2.140230432104517	1.739589853154537	2.021977195218284	1.4351836164391631
Notch signaling pathway	48	KEGG	1.8474480827979134	2.114161757608281	1.7712828907122715	2.1919064120239113	1.6524424767348604
Nucleotide excision repair	47	KEGG	1.71835216271252	1.754730067135782	1.7117353291826092	1.725067929730994	1.7279109657229372
Olfactory transduction	418	KEGG	0.5367231615271347	0.5460215432059154	0.5362260788280766	0.5440524602663529	0.5336616356952036
One carbon pool by folate	20	KEGG	1.527234143226918	1.457571020757671	1.6206034788778023	1.5477593656880841	1.649464350418579
Oocyte meiosis	124	KEGG	2.6622747141521277	2.3106329831462555	1.4026375476859771	2.2454994436937534	2.3297299028897362
Osteoclast differentiation	128	KEGG	1.1904818409573383	1.2866275119485358	1.2351918919013622	1.2635556791124227	1.2348765820443939
Other glycan degradation	18	KEGG	2.2817754438543476	2.279648500022355	2.9652347334252034	2.4275240686787662	2.7581335208570086
Other types of O-glycan biosynthesis	22	KEGG	1.757253783087622	1.7534168809175756	1.9629427116076148	2.0564904560083375	1.7345997563034505
Ovarian steroidogenesis	50	KEGG	1.1230292344115547	1.106198753687814	1.0791080055564177	1.1570576341134513	1.0436394347523543
Oxidative phosphorylation	133	KEGG	5.484804628553049	4.069843884157203	5.341373196805537	4.13843390793643	5.689663361992887
Oxytocin signaling pathway	153	KEGG	4.725541636252683	6.5994567078829585	3.8001573179273693	5.631481572633629	3.404853831333107
PI3K-Akt signaling pathway	352	KEGG	1.7503147419819767	2.4315108586311953	1.590435040205663	2.1561040156229665	1.6007907612098282
PPAR signaling pathway	72	KEGG	1.3298758356280802	1.6600585652190039	1.2027368185459284	1.290567118212091	1.1524815006118647
Pancreatic cancer	75	KEGG	1.6239540715370069	1.9413379241609967	1.4674806297281209	2.113565600127027	1.4785517825031065
Pancreatic secretion	96	KEGG	1.1105782337410472	1.5194433094207203	1.0103729342999466	1.7092997122048565	1.1160258895085806
Pantothenate and CoA biosynthesis	19	KEGG	1.1637461410237877	1.0987594604770532	1.0815605810730418	1.0653215563675436	1.2488147626198722
Parkinson's disease	142	KEGG	5.425994261117312	4.161023514796404	5.33312794058991	4.391241494146287	5.503262954074156
Pathogenic Escherichia coli infection	55	KEGG	6.869589678928609	6.856621465150674	6.068048995637103	8.777066064595907	8.725835817969807
Pathways in cancer	528	KEGG	1.183635695318689	1.666026834347669	1.1640267262971609	1.4753341889284428	1.2855122534159444
Pentose and glucuronate interconversions	34	KEGG	0.9892009732079099	0.7710521006407758	0.8850147669055143	0.9914499535849441	0.8642668024983704
Pentose phosphate pathway	30	KEGG	2.005828966574981	2.2839199933225167	2.9065830953475165	2.2273238412194885	2.5351811106278603
Peroxisome	83	KEGG	1.6554062714099136	1.4592010041130783	1.4968380802541492	1.567874359661509	1.5700458917895506
Pertussis	76	KEGG	7.110918525614374	8.627949445999526	3.86637615411721	4.355956002105695	4.8677712145805465
Phagosome	152	KEGG	3.044994892738405	3.910333410818542	3.2223028918429484	4.767124832816014	4.305729902896782
Phenylalanine metabolism	17	KEGG	2.8827715747100418	5.0243006254365215	2.4763756795841467	5.401329447862904	2.6636183464772167
