	count	db	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Arginine and proline metabolism	50	KEGG	3676.6292052210333	3790.502293537568	3496.82896890304	3585.2750222605714	4533.482203189243
Arginine biosynthesis	21	KEGG	8661.082655192118	13631.975734253689	8874.812080960799	11920.133111387771	8037.994431355564
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	KEGG	2502.6516019209243	1817.1610396970234	5194.606121318772	2276.9880560235465	2175.375024979625
Ascorbate and aldarate metabolism	27	KEGG	12822.14514751899	11077.095256952103	13253.269027907789	12897.188164012528	12637.257365105977
Asthma	31	KEGG	1958.3262518790214	3481.4696008887668	1079.1817019803123	422.24589459895634	852.1360384517079
Autoimmune thyroid disease	53	KEGG	432.96624570337485	601.6614358199714	361.61756457551076	282.93095825926616	604.4955195300871
Autophagy - animal	128	KEGG	11098.613943837505	9329.288640685241	12229.987922835144	9405.057676899778	11313.689458746574
Autophagy - other	32	KEGG	11357.644673279432	9384.160077005627	11935.801207248696	10496.81446315903	11072.506331036617
Axon guidance	175	KEGG	15495.711038848414	15983.934059346755	18125.361159514105	15543.458216427895	17053.23810286934
B cell receptor signaling pathway	71	KEGG	14224.334878754822	14895.656938005435	14017.162884857742	13302.569066199485	13161.93050195732
Bacterial invasion of epithelial cells	76	KEGG	4335.9388120910235	1996.8065149155761	5762.105094122078	3021.379491113566	4783.958765746661
Basal cell carcinoma	63	KEGG	17327.23721032174	15498.350843751989	16049.090003709365	15374.392747971573	17106.682626154965
Basal transcription factors	45	KEGG	10631.065503677999	10720.055257462132	11090.436570363694	9964.717361639914	10840.439719735461
Base excision repair	33	KEGG	9835.74916227212	9578.226602284843	9378.772166949215	10370.54980729248	9645.15982292351
Bile secretion	71	KEGG	11067.608227293886	8137.004608301719	11843.343804517022	6737.431070184962	14707.45967907443
Biosynthesis of unsaturated fatty acids	23	KEGG	10572.256003336212	8144.096676487174	10233.413915582802	9145.601301014138	10577.64777105228
Biotin metabolism	3	KEGG	9559.273167080206	9897.857486060055	9469.475255483616	9597.412914557812	9318.144700351451
Bladder cancer	41	KEGG	1235.3529947977877	2335.820723722163	3002.01353959399	3928.254803882949	2977.0966919804982
Breast cancer	147	KEGG	5377.389766148659	4771.198401615806	7148.847218249845	6003.724922717834	4453.439602250355
Butanoate metabolism	28	KEGG	9424.371775683545	9671.548732210586	9005.601280852705	10568.731449677703	8118.85703035626
Caffeine metabolism	5	KEGG	15830.974747360615	15617.330884634815	15773.351119350773	15185.870683860036	15628.710828107576
Calcium signaling pathway	182	KEGG	15574.24605732796	2917.0810832534867	18195.66783764976	10723.842476800313	17368.767402738453
Carbohydrate digestion and absorption	44	KEGG	6712.010520917947	8862.408807532138	6900.866838824836	6718.999441003221	5891.383633414102
Carbon metabolism	116	KEGG	6376.348876402242	2593.806741243955	6420.759597641472	4484.740838321817	7423.570184837082
Cardiac muscle contraction	78	KEGG	1449.8858673569755	2528.5345324439836	1541.676351343596	2096.078469200002	1304.8022855126526
Cell adhesion molecules (CAMs)	145	KEGG	5555.395724744378	10344.077588774584	16758.9481051513	5025.826442168427	1138.2720546068
Cell cycle	124	KEGG	16913.603398891122	5764.728145310683	15813.580647711178	13364.683087339881	16003.783169649581
Cellular senescence	160	KEGG	9515.253198984125	4136.278215393178	11216.839585149637	4136.446261556154	10356.105382245309
Central carbon metabolism in cancer	65	KEGG	5273.885575679744	7708.2109048532475	5323.146917940675	6137.152612149894	6565.218204028628
Chagas disease (American trypanosomiasis)	102	KEGG	14841.24743816956	9695.007907924237	15019.868604159381	10231.247529957922	14555.440963890005
Chemical carcinogenesis	82	KEGG	4589.322529597514	9109.269555114623	6719.109712526106	4945.508660821122	6012.107600387383
Chemokine signaling pathway	185	KEGG	17253.399918366693	11784.344940622681	17237.97420762001	7783.122528870562	15169.124739956178
Cholesterol metabolism	50	KEGG	3269.4927522933913	4610.169969348776	3198.0900903353618	4034.080640741385	3174.8907464310932
Choline metabolism in cancer	99	KEGG	12122.123820820625	9478.679730968874	11452.800277485418	10112.517841745246	11996.089014805328
Cholinergic synapse	112	KEGG	12281.52173917311	4983.966128770709	16532.129905996997	10241.558573656359	13177.49787714928
Chronic myeloid leukemia	78	KEGG	10261.231288856967	8381.063257416428	8140.334622083806	5576.119583696628	6692.22401387867
Circadian entrainment	96	KEGG	2390.3813663019005	1004.3154893152343	12215.352605990547	1213.53057775506	3984.234014041408
Circadian rhythm	31	KEGG	10153.624752441187	9995.912486606536	9099.199382006302	8171.377733673281	9507.174661521634
Citrate cycle (TCA cycle)	30	KEGG	4548.491714189325	4640.975299894209	4449.09525277757	4639.567424359323	4657.417714879677
Cocaine addiction	49	KEGG	2455.3657629855975	1830.6126549530088	2378.7813507867595	3897.1719393043304	5173.55358740968
Collecting duct acid secretion	27	KEGG	4421.9122173565465	3909.359525411728	4757.291151804028	4489.736663982465	3279.6433312691643
Colorectal cancer	86	KEGG	11384.856184732698	9334.51477012618	11447.096003135384	8605.155147108742	11060.722918922793
Complement and coagulation cascades	79	KEGG	2748.331662181139	627.6977743604683	2873.8838121626095	1178.251440901294	1060.8577111778343
Cortisol synthesis and secretion	63	KEGG	13659.458640983927	5067.454348893588	11098.50710436022	7227.906401982065	11352.979848039167
Cysteine and methionine metabolism	45	KEGG	6109.757746760517	9328.451067955248	3447.795142213174	11849.219119415413	3873.389198373869
Cytokine-cytokine receptor interaction	270	KEGG	13186.313584557869	13209.41187821526	12744.43100190509	12333.243569596889	13644.506607568066
Cytosolic DNA-sensing pathway	64	KEGG	9373.393331682182	8665.205512081897	8904.770202900845	7802.277521518878	8513.962832841142
D-Arginine and D-ornithine metabolism	1	KEGG	19048.0	15900.000000000002	17745.0	17531.0	19309.999999999996
D-Glutamine and D-glutamate metabolism	5	KEGG	8497.308924974355	8006.471288132191	8557.376544301012	7144.197801078266	8562.84805773076
DNA replication	36	KEGG	10792.26643063862	9931.95929311195	10370.118303363066	10170.846997412184	10532.306213212609
Dilated cardiomyopathy (DCM)	90	KEGG	2184.651670991823	727.4261053462177	1344.45410913429	1245.8033247879546	1450.9705171980631
Dopaminergic synapse	131	KEGG	6173.160072066636	3668.743411996439	11858.812899295193	2747.805978064992	3856.0108091741977
Drug metabolism - cytochrome P450	70	KEGG	3080.0858795896065	8485.315280748493	6475.736711248977	5194.33932280782	4963.1202699792575
Drug metabolism - other enzymes	79	KEGG	4568.988115056717	5900.432367343634	5977.018514285494	5336.523577535296	4798.307733098091
ECM-receptor interaction	82	KEGG	6790.37395921783	426.18458772466334	9728.422402162927	1158.405116173461	8132.952013016485
EGFR tyrosine kinase inhibitor resistance	78	KEGG	14019.13460559869	8168.210587245118	13990.45919128537	8592.56243347746	13246.258553775531
Endocrine and other factor-regulated calcium reabsorption	47	KEGG	1905.4447503739018	1952.775947515505	2135.2939841645	1952.0434296039728	2552.8705075758926
Endocrine resistance	95	KEGG	14000.009178398312	8465.117499267628	12826.972340766806	8360.676392062433	13586.185847789522
Endocytosis	244	KEGG	9485.422957513552	5824.3449424675055	10198.1016591864	7461.497022923474	10264.128530809241
Endometrial cancer	58	KEGG	8017.008292027334	8895.569593430539	5498.315905944806	8585.936334384287	6289.908411158389
Epithelial cell signaling in Helicobacter pylori infection	68	KEGG	9271.061325215462	5800.757357465666	10093.848152886387	7744.339270185101	9809.143316460526
Epstein-Barr virus infection	203	KEGG	11187.888294656614	8788.599627019988	11489.420281984725	9113.20488979389	11403.517365454858
ErbB signaling pathway	86	KEGG	14807.192268965791	7918.538059000388	15301.275161989553	8007.058775934814	14247.891990709919
Estrogen signaling pathway	137	KEGG	528.9916424759871	807.6260167003	642.4519498142678	2277.9578029534996	1135.0192547899371
Ether lipid metabolism	47	KEGG	11044.84595669279	11836.235086402843	11298.726224146734	11088.993647750089	11559.514751865267
Fanconi anemia pathway	55	KEGG	15855.65190776796	16088.917364636025	15540.574484973973	15695.711889512088	15653.835533962601
Fat digestion and absorption	41	KEGG	13411.181275290539	13332.209360560864	13333.175457701958	14139.527753304836	13807.254150742752
Fatty acid biosynthesis	13	KEGG	10377.559455087812	11142.565653868864	11117.563442329129	9613.907223589704	11232.374216903923
Fatty acid degradation	44	KEGG	8529.655676614886	5040.912154267916	7459.179384410573	6614.409149082253	8426.949534184472
Fatty acid elongation	25	KEGG	2316.5240934105605	4533.6515566204735	4513.551089565907	4737.087522138577	2226.2881398987993
Fc epsilon RI signaling pathway	68	KEGG	11788.623113050226	10361.271176628421	11455.085054058964	9261.673642289845	11579.475652131274
Fc gamma R-mediated phagocytosis	91	KEGG	14529.095276794375	13124.406291984826	13733.727384583173	11222.07141519705	12755.050003144155
Ferroptosis	40	KEGG	9195.072258685515	2240.7378027284817	7450.265751010328	3822.4296546143582	6380.346992732335
Fluid shear stress and atherosclerosis	139	KEGG	11171.970087883501	5532.009899713897	11561.249524512728	4557.986968963935	3078.2147428473017
Focal adhesion	199	KEGG	3962.541141826723	2556.062852696246	5118.033472791943	3793.4482590693337	6139.674886051293
Folate biosynthesis	26	KEGG	10974.85973514957	9991.119864204315	10631.865860240569	10892.916660126599	10620.044653269902
FoxO signaling pathway	132	KEGG	11676.149958854592	7642.6067736428995	11645.043143992558	6414.229019406983	12850.753101280698
Fructose and mannose metabolism	33	KEGG	7508.453957671075	7896.19274483889	7613.960590566611	10153.848782861076	7068.013537456585
GABAergic synapse	88	KEGG	8387.316234440463	3046.918220371682	11903.494908616583	5896.341647627808	8473.389939015027
Galactose metabolism	31	KEGG	5132.5003166847355	5300.829025865363	4705.516052340893	4453.726823027099	6223.595270039427
Gap junction	88	KEGG	10318.090927967563	5286.963624195295	9077.362754725444	8306.246321602659	11107.804004287125
Gastric acid secretion	75	KEGG	732.0137650763925	1043.3755219350244	2970.7832912461536	1254.7845865606082	2029.4079060331228
Gastric cancer	149	KEGG	9053.984099798441	4266.743297728169	9876.345538414065	4949.140459017807	11869.762766423672
Glioma	71	KEGG	12328.542509771793	5798.701243795335	9208.64036735708	6016.397189744108	5923.600759457855
Glucagon signaling pathway	103	KEGG	8231.276380855605	4230.263053377233	6978.590693894187	6040.342191939808	6094.105227016696
Glutamatergic synapse	114	KEGG	14601.274389229031	7505.073239650584	17940.65350286354	10612.775858901683	14299.503023645197
Glutathione metabolism	54	KEGG	3953.447081711574	6839.013183320695	6253.22178877935	5021.802489906449	3948.146967511461
Glycerolipid metabolism	61	KEGG	9212.881922199016	9844.51181791504	9389.6458568701	10193.177687467107	9365.321429068916
Glycerophospholipid metabolism	97	KEGG	11995.474330094727	11531.302821723091	12525.558509360968	11590.855601665746	9817.151104254208
Glycine, serine and threonine metabolism	40	KEGG	8890.220212239003	15789.321805225716	7906.410375393205	15438.49571777961	8242.391276856411
Glycolysis / Gluconeogenesis	68	KEGG	2619.8708815634445	2302.579305415724	2709.019667138867	2005.622886365101	2058.70421472377
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	KEGG	13226.665744030995	11970.209072297597	12874.513655255427	9963.042934740013	12804.841613616034
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	KEGG	9090.442019613307	13570.326496074955	11359.03409831129	13941.506617076706	13476.77300965873
Glycosaminoglycan biosynthesis - keratan sulfate	14	KEGG	12396.162256402988	11351.866564443048	12533.22372297194	8223.994826963277	9790.996893827132
Glycosaminoglycan degradation	19	KEGG	5316.370165089225	7265.035774576058	5191.171550429519	6796.377114418454	5150.435256029936
Glycosphingolipid biosynthesis - ganglio series	15	KEGG	10977.460915504034	9701.274201440445	10869.702386863262	10066.18486895122	8709.537815757487
Glycosphingolipid biosynthesis - globo and isoglobo series	15	KEGG	10915.57751856687	10052.366787053716	9517.218346778094	9541.44096574062	11076.401159895224
Glycosphingolipid biosynthesis - lacto and neolacto series	27	KEGG	14440.384333677166	12645.00885794356	14576.856871772618	13680.951762461647	13690.581109593697
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	KEGG	13276.078426945158	12058.969310052074	13227.233017822824	12305.193508288332	13332.613075833944
Glyoxylate and dicarboxylate metabolism	28	KEGG	6232.372535188447	8089.016185954502	6223.947886642882	6084.179865143387	6012.94056807873
GnRH signaling pathway	92	KEGG	10479.662297172335	7969.392277597078	10702.425351116239	9180.937266205467	9630.080163615026
Graft-versus-host disease	41	KEGG	481.6184135183221	605.3270731830092	371.374436588101	291.1361344345266	742.7589753134287
HIF-1 signaling pathway	100	KEGG	6744.868868347638	6336.174453012237	6828.338265220353	8281.937934394318	7157.078403974018
HTLV-I infection	255	KEGG	12481.371289919854	9503.956515492471	12377.966675109896	8191.2663681492795	10157.283202834225
Hedgehog signaling pathway	47	KEGG	11380.200422198652	9607.222027623533	11498.997605161752	9427.944676008541	12510.853449271353
Hematopoietic cell lineage	97	KEGG	10511.163057832415	10455.800045835029	12134.14712348529	1741.749919542872	807.8428248427667
Hepatitis B	144	KEGG	10014.637952419524	8442.36800299015	9070.584121905593	9085.659243720873	9196.218953510595
Hepatitis C	131	KEGG	10983.988567652183	8561.2000834919	10704.692888287716	9073.642522279673	10029.191606826274
Hepatocellular carcinoma	168	KEGG	11244.54388396108	5694.7507818596905	8665.886443680478	5540.353235698421	7566.220103584509
Herpes simplex infection	185	KEGG	8780.791770398424	9470.505966673565	8039.241710527311	9278.567085365548	1419.1916518476537
Hippo signaling pathway	154	KEGG	14147.619522233545	16492.646306527186	15044.247040118666	17188.227292138527	16284.660099837383
Hippo signaling pathway - multiple species	29	KEGG	13523.022250585173	9271.003120783986	13870.546813850886	9474.6146684547	12681.030687554636
Histidine metabolism	23	KEGG	4751.893872212866	5256.464880866446	5300.530451723016	4132.118173866176	5922.353414894349
Homologous recombination	41	KEGG	14686.074152657206	15897.053188177826	14437.482828257644	15017.37920841507	14643.350726699635
Human papillomavirus infection	319	KEGG	8580.399641711634	3859.8078503212687	6360.980545451152	5241.700245439666	7525.92903697464
Huntington's disease	193	KEGG	2169.7879430433704	3223.2170987339928	2705.693717941854	2574.241877091946	2498.6299486236553
Hypertrophic cardiomyopathy (HCM)	83	KEGG	3925.546186826187	215.78670781965434	2607.0852167047756	802.1933990278822	1869.105217319743
IL-17 signaling pathway	93	KEGG	2525.4983212933766	2809.8030695394164	1821.2423019580297	8495.889741740495	2192.503573027628
Inflammatory bowel disease (IBD)	65	KEGG	4263.278893978469	5001.938450959533	2878.4788791825285	2181.7978088939153	1049.2748154399385
Inflammatory mediator regulation of TRP channels	97	KEGG	14030.510498747593	12557.806138225918	14774.310959394561	10299.932551672155	13380.13673926467
Influenza A	173	KEGG	9710.613497111168	8427.163956350436	10393.66374936791	9008.409524102983	8032.94703838099
Inositol phosphate metabolism	73	KEGG	13983.681294063641	11475.09876746427	14492.985273295897	11398.802152633809	12841.715266656349
Insulin resistance	107	KEGG	13046.626707779717	8999.027712836725	12889.093388057347	9032.373785796022	13956.84480413508
Insulin secretion	85	KEGG	10636.951923765493	3495.8220325077054	11211.333092036766	5661.810192523644	11115.706992132702
Insulin signaling pathway	138	KEGG	12106.71928895174	6162.602467806426	11090.821406467387	6950.638764889505	11767.75231938281
Intestinal immune network for IgA production	49	KEGG	5971.916945592133	4908.987550279977	8256.705784230124	383.2967440237414	697.3753088550909
Jak-STAT signaling pathway	162	KEGG	8471.721436933016	5963.908772895307	9641.430309323481	4714.18393448587	9378.52558672712
Kaposi's sarcoma-associated herpesvirus infection	186	KEGG	5195.6651740367615	5678.244575776556	4517.7504628182605	8473.621294043915	7057.37244475764
Legionellosis	55	KEGG	7140.9839625954255	7743.2269047192685	8668.772573372493	7691.007639844855	9483.74378260572
Leishmaniasis	74	KEGG	14432.369390888995	13660.170791354425	8921.811259472615	4962.521875892499	1103.7341413746062
Leukocyte transendothelial migration	112	KEGG	622.2616059708025	533.8237546861945	723.1832894306242	743.0725590726757	1367.9184035221442
Linoleic acid metabolism	29	KEGG	14293.025660009329	14796.506819442935	14458.854078680082	15167.262772544644	14573.840349157092
Lipoic acid metabolism	3	KEGG	10523.18383651111	11687.670606896152	10938.811852128683	11559.04520176	10448.647988284645
Long-term depression	60	KEGG	9581.805899782512	3079.6721849652013	8049.568906936682	6746.206950801382	5618.768158525775
Long-term potentiation	67	KEGG	6716.36136550426	2146.1193233361023	7573.634580036465	2058.55344502765	4524.173587042346
Longevity regulating pathway	89	KEGG	10760.948927847383	9088.953903964122	10250.714801551478	8129.982843744628	9092.829525292547
Longevity regulating pathway - multiple species	62	KEGG	11492.785355575115	9259.016228352268	12961.205688178012	8258.02688093236	11924.899577559838
Lysine degradation	59	KEGG	9859.293520989742	4130.846749196251	11547.552141526465	6413.560140587671	11626.713040571616
Lysosome	123	KEGG	6068.540471752746	8111.650997387471	6849.445078731115	8283.64991627439	7230.316990383562
MAPK signaling pathway	295	KEGG	14677.786992050143	7658.634177353575	12618.991199611804	7892.722802444768	13712.867110384737
Malaria	49	KEGG	13084.550057188226	4335.437263165117	13181.719258269477	308.23127206119653	13178.546872056748
Mannose type O-glycan biosynthesis	23	KEGG	12565.911151189815	10678.354784314297	11797.020780864339	12501.759138557514	14200.974153648956
Maturity onset diabetes of the young	26	KEGG	15484.825596908848	16624.27831251775	15972.785244227432	16829.9243872413	15746.811497455255
Measles	134	KEGG	7526.2200727391955	8096.242832469389	6859.057858559992	8256.549374562266	5120.133382868169
Melanogenesis	101	KEGG	15660.397133824057	13079.193314218583	16476.069148851704	8479.539495524205	18161.8132775894
Melanoma	72	KEGG	3034.401605511187	4385.659628448695	2666.8331447528267	4205.174065938775	2462.9619951187815
Metabolic pathways	1269	KEGG	11345.469204807536	9334.971344479229	10727.23127770465	10306.145988961774	10177.824561671407
Metabolism of xenobiotics by cytochrome P450	74	KEGG	2730.5701573855677	7235.021414646883	4552.893612883548	3937.0712196394506	4567.230259680259
MicroRNAs in cancer	299	KEGG	15120.87471218435	7244.967818357297	15351.416992145683	5337.186398873499	13978.705190967461
Mineral absorption	51	KEGG	2579.2933030861655	2370.594118963836	3082.349717521017	1783.850232895715	2117.008842569774
Mismatch repair	23	KEGG	8827.406773127937	10665.305102204122	9489.156673730717	10622.1738977532	9361.068987163162
Mitophagy - animal	65	KEGG	10004.517166430598	8438.215440158021	11151.665263067978	8494.761760056781	10303.720835456092
Morphine addiction	91	KEGG	11360.272649404676	9979.674990357038	13612.00563391644	10470.96288413124	12086.468986606948
Mucin type O-glycan biosynthesis	31	KEGG	11565.82101043016	14102.224198887896	11341.67654547182	12757.859515830614	10811.308802006499
N-Glycan biosynthesis	49	KEGG	11052.704892029207	10461.740037806798	10519.574087530786	11600.564928260721	10191.013410162786
NF-kappa B signaling pathway	95	KEGG	14506.81594978539	14954.008066958784	14554.1599411291	15113.490142937773	13830.253898251878
NOD-like receptor signaling pathway	168	KEGG	10506.949509031449	9067.57635071866	11024.455940362432	8838.711784872352	9614.859165934986
Natural killer cell mediated cytotoxicity	133	KEGG	7829.08498021562	7305.545698483418	7679.923375896044	5409.614490738011	6932.57901856561
Necroptosis	164	KEGG	7924.292963222326	7962.36102282185	7156.397500505374	8281.218345185733	7249.023382990225
Neomycin, kanamycin and gentamicin biosynthesis	5	KEGG	11252.307941878651	11665.951370849547	11862.171346560688	11363.447070516908	11351.754801173218
Neuroactive ligand-receptor interaction	278	KEGG	15459.488521093073	14614.359421199777	15435.500863167892	14288.888498274086	15457.863016234298
Neurotrophin signaling pathway	119	KEGG	14042.986786799911	8991.98515973793	11214.234692079941	9189.727712649898	9265.620547323493
Nicotinate and nicotinamide metabolism	30	KEGG	12557.389744083139	11387.694994229094	12515.405113341176	12953.608846041878	12323.292345157004
Nicotine addiction	40	KEGG	15815.994403783128	16658.779383224417	16083.172946805766	16268.178066507346	16135.829725014351
Nitrogen metabolism	17	KEGG	11680.90147333333	8667.846874820965	11857.733796212227	10772.009219305712	11706.565258407014
Non-alcoholic fatty liver disease (NAFLD)	149	KEGG	2302.064464670418	3017.3102603229663	2653.7594392660367	3024.396673444792	2353.968311996024
Non-homologous end-joining	13	KEGG	9959.960008224542	10205.638166487739	9968.0744064872	10260.382394029528	10290.990287019587
Non-small cell lung cancer	66	KEGG	11602.050306814628	6501.710169079385	9469.92356639378	7104.676401920907	13409.078290613179
Notch signaling pathway	48	KEGG	8714.044243967033	7830.893992953098	10106.218624724037	7273.7554018173505	10618.045619917628
Nucleotide excision repair	47	KEGG	10796.774767864907	11134.725235952623	10691.988632390261	11069.494808242644	10671.25256964288
Olfactory transduction	418	KEGG	18182.864536864734	17736.6528565473	18185.351586908666	17895.922203007693	18246.6244006111
One carbon pool by folate	20	KEGG	11083.306860485109	13083.338725398877	10310.416052194401	12271.678354633339	9884.656956203538
Oocyte meiosis	124	KEGG	2313.087258999368	4154.554649693681	11675.990237711809	2890.929527254653	3528.990792253081
Osteoclast differentiation	128	KEGG	16187.771238094258	14521.503670898604	14966.165631294187	15178.23484538803	14480.0807425885
Other glycan degradation	18	KEGG	6615.230393630009	6891.181841292169	5132.692992205092	6066.810790156038	5490.331635351423
Other types of O-glycan biosynthesis	22	KEGG	11300.224796195886	10892.041989486554	9212.700143382051	8410.580396282998	10091.837656957894
Ovarian steroidogenesis	50	KEGG	11318.884391180678	9332.04515727246	11674.557078805225	9641.103432054157	11302.102395043803
Oxidative phosphorylation	133	KEGG	2322.5170739996283	3678.351445529456	2466.4362794774597	3623.7444236366982	2423.926013597615
Oxytocin signaling pathway	153	KEGG	688.2646796299522	391.3695319118254	1312.468180359087	1251.1238014241046	814.1239767778051
PI3K-Akt signaling pathway	352	KEGG	2603.479693846503	1843.578011495126	3538.0098334941167	2741.9191443630725	4110.100343338647
PPAR signaling pathway	72	KEGG	9927.722675945339	8547.880261603439	10485.696090905934	9630.509009368358	10575.295329085617
Pancreatic cancer	75	KEGG	11335.545626953124	8969.817391582177	13120.454643210147	7072.515593129377	12939.968179796224
Pancreatic secretion	96	KEGG	9458.719844255575	4719.274065883384	10754.47083547833	4171.560169895338	8642.602647970965
Pantothenate and CoA biosynthesis	19	KEGG	12173.573252771183	12631.975058614164	12421.95275017476	10984.402871118447	12587.310053101175
Parkinson's disease	142	KEGG	2173.4047798289057	3315.644632933463	2299.113559115794	3041.0665950322	2287.731568982778
Pathogenic Escherichia coli infection	55	KEGG	1466.205662577294	1282.5340032460592	1658.0775995876206	952.7091140641784	1006.9386495240111
Pathways in cancer	528	KEGG	13567.217068281727	4490.657502188413	14446.006336345665	7111.350923346289	9323.609694786084
Pentose and glucuronate interconversions	34	KEGG	10482.637850006065	13123.739392607913	12101.873349058807	10647.380205360889	11472.579204210564
Pentose phosphate pathway	30	KEGG	6396.049111487479	4909.872517707915	5071.615566467845	5401.67853061477	5462.297260417038
Peroxisome	83	KEGG	10311.369029366624	11457.243065678409	11073.969896287115	10671.937859721704	10542.781342205262
Pertussis	76	KEGG	517.0893552655477	501.06567588448905	1482.1381511533152	1359.6646338615953	1142.093974656992
Phagosome	152	KEGG	2505.0274886426514	1892.2840664668713	2097.813625444594	1424.78556901085	1724.3054411626736
Phenylalanine metabolism	17	KEGG	4568.356520618453	2562.197246714659	5567.154504445355	2203.1944609940388	4386.045962971974
Phenylalanine, tyrosine and tryptophan biosynthesis	5	KEGG	8238.156708107492	9447.822283198642	7171.827531262977	9930.160588661302	6769.342303393792
Phosphatidylinositol signaling system	99	KEGG	14778.613777676264	11805.198127726957	14998.500048865257	11664.375999105028	13177.96397976644
Phospholipase D signaling pathway	146	KEGG	13502.077091032908	9232.32833618732	12974.990182897594	8951.4787579329	16569.876019734882
Phosphonate and phosphinate metabolism	6	KEGG	7122.583666622723	8990.510332062286	8229.604427259792	7851.059800859468	8203.133266686498
Phototransduction	28	KEGG	2109.8303892908857	3261.261348927936	5064.585023873855	3071.3548826661745	4226.350552980371
Platelet activation	123	KEGG	14268.433937457039	4293.747750119356	15379.789908700886	4397.525222756128	16062.000179376897
Platinum drug resistance	73	KEGG	12765.500263223283	8502.431219741837	13312.933852398643	9121.362464032423	12874.0137204004
Porphyrin and chlorophyll metabolism	42	KEGG	11252.491158863086	10964.612180113354	10285.944350697095	10740.05254454196	9320.226596393348
Primary bile acid biosynthesis	17	KEGG	12416.961060153813	11804.068965890929	12553.325909255147	11832.546850809389	12597.04899576874
Primary immunodeficiency	37	KEGG	14599.315656106124	14169.419450693207	15468.853784057064	12331.599111835534	12785.660269300293
Prion diseases	35	KEGG	3268.8754301595427	1145.1814367610687	2537.71892386101	2034.4924564770677	1973.6697174800306
