	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Biosynthesis of unsaturated fatty acids	-0.95966829412863	-1.1073231458789872	-0.954887464849982	-1.2649597634451801	-1.0779241488138478
Biotin metabolism	-0.4857499240824042	-0.449507839211763	-0.49632326382172975	-0.47874785825765315	-0.5100277933770874
Bladder cancer	-2.567536920712188	-3.0701393158340657	-2.7148066800975936	-2.5166265964369265	-2.6266490785901806
Breast cancer	-1.5845202268248375	-2.4063259442526563	-1.6538907010383124	-2.655082114201799	-1.529520701030123
Butanoate metabolism	-0.5718186515390528	-0.3431336011366367	-0.6154974325562439	-0.3637622078765978	-0.45620216102766503
Caffeine metabolism	-0.09099382057703095	-0.09922020281340019	-0.11338787962678748	-0.11884087112280742	-0.1258499619073529
Calcium signaling pathway	-0.28177216589449583	-0.5306186699280208	-0.3517985709077709	-0.6991166068498683	-0.27244387331049125
Carbohydrate digestion and absorption	-0.3205827470497284	-0.2538026077718539	-0.30304401176018736	-0.2873650749445886	-0.4224242988692653
Carbon metabolism	-6.962017759409524	-5.957324372185114	-6.879284363773224	-5.738912709698505	-6.74011189683505
Cardiac muscle contraction	-2.315183901648971	-2.9958156474872024	-2.6381964532437285	-2.7589946878861267	-2.5644096728662844
Cell adhesion molecules (CAMs)	-1.594287447337791	-1.3829081330974209	-1.587998312889693	-2.1160817661411047	-2.7826394093912934
Cell cycle	-3.9635218792526676	-4.211023424633848	-3.913480814057939	-4.197687598993161	-4.488626038675558
Cellular senescence	-6.659457059549761	-8.066497962090706	-6.497725847230431	-8.138638964822622	-7.201564003043893
Central carbon metabolism in cancer	-3.8484001016341938	-4.204905238631721	-4.040358408770843	-4.748397608740582	-3.935061730584641
Chagas disease (American trypanosomiasis)	-3.1783477164616922	-4.608098667930308	-3.317542521238643	-4.76030877065304	-3.70854235253994
Chemical carcinogenesis	-0.2870023562526212	-0.11258136633675443	-0.22773303860710853	-0.21658341511339516	-0.16929555264310658
Chemokine signaling pathway	-1.052102755558112	-1.9905792098386519	-1.1540640022817716	-2.5482310397847803	-1.4200456909003127
Cholesterol metabolism	-0.7179145920985206	-0.7508913478012534	-0.8351514218565534	-0.7141300282790287	-1.010258918698151
Choline metabolism in cancer	-3.1183898804337296	-3.700474310717591	-2.684074314154599	-3.910673617087384	-3.0850633848429334
Cholinergic synapse	-0.45618704286989836	-0.8837735359274299	-0.6053662707041124	-1.1313699615417316	-0.47547400168148846
Chronic myeloid leukemia	-6.732086730816882	-8.219885771763407	-6.578806713887527	-8.047336961244453	-7.22865164606922
Circadian entrainment	-0.50777974456189	-1.1186988451911846	-0.6370426634111127	-1.1627261985214266	-0.4198071451466311
Circadian rhythm	-2.227965265655355	-1.96376606480548	-2.065719476727986	-2.346253601746874	-2.064234983159269
Citrate cycle (TCA cycle)	-4.913862654688819	-4.615186085047375	-4.839032638038414	-4.793741444866608	-4.876123746093524
Cocaine addiction	-0.7203489197605276	-1.039630522074587	-0.7541017360489967	-0.7847268705363453	-0.48763220530060186
Collecting duct acid secretion	-1.3183481466224896	-0.9330751712929357	-0.9746541202640454	-0.9257391858630606	-1.3478598112290419
Colorectal cancer	-5.624503614421955	-6.890487943348918	-5.334356688553218	-6.482267853219922	-6.022287233759592
Complement and coagulation cascades	-0.5645946862022975	-0.6858873536717331	-0.4893451565636993	-1.0185765545811494	-1.3011693174889112
Cortisol synthesis and secretion	-0.4438911535447927	-1.18439397080516	-0.4980948051164707	-1.1375234941093355	-0.3735002989256091
Cysteine and methionine metabolism	-2.4424114167488225	-1.59343814272622	-2.412708208543618	-1.715818696001922	-2.6162489280411023
Cytokine-cytokine receptor interaction	-0.03245547368013302	-0.04296993072536531	-0.016941311923491277	-0.019499487380938825	-0.05120624687783206
Cytosolic DNA-sensing pathway	-0.5145316984323812	-0.5885281499007886	-0.620692683045734	-0.5694934345443476	-0.6912810819532719
D-Arginine and D-ornithine metabolism	-0.032581873205202595	-0.11103413126159853	-0.06335525191293294	-0.06862456585141023	-0.02664898180948586
D-Glutamine and D-glutamate metabolism	-0.6914840091424185	-0.6652855343204886	-0.6977956160905043	-0.6651317984606937	-0.6530002134268325
DNA replication	-2.029424996961515	-2.252026879105124	-2.357424264432357	-2.111241095849712	-1.993708822331452
Dilated cardiomyopathy (DCM)	-0.75951844150315	-2.4749585421132996	-0.7816160162538017	-2.370030538137165	-0.7807261320100967
Dopaminergic synapse	-1.8088165531924931	-3.1537634793295357	-1.7867477977276256	-3.164595195783423	-1.5930751870298818
Drug metabolism - cytochrome P450	-0.3588306578931459	-0.12120582390669472	-0.2530646586012114	-0.19178688697300028	-0.18552180427630094
Drug metabolism - other enzymes	-1.1366062874382916	-0.6135607665230469	-1.1102494491731922	-0.6912360128323903	-1.1780509472461573
ECM-receptor interaction	-1.3697833589706137	-4.236948109123166	-1.4120428377374645	-4.337394758445632	-1.4279649793946927
EGFR tyrosine kinase inhibitor resistance	-3.8828441359847825	-5.690091158797231	-3.6545647065641402	-5.984306411014757	-3.857116698337535
Endocrine and other factor-regulated calcium reabsorption	-1.796549970591612	-2.3999333021224216	-1.7800867014123904	-2.4784374031261494	-1.5109094811455375
Endocrine resistance	-4.3449957100485	-7.020239454076603	-4.215822476039941	-6.700337012288021	-4.6394807498217325
Endocytosis	-15.066272606967551	-16.498215293488038	-14.406044311151085	-17.08939274331528	-14.552512783674278
Endometrial cancer	-6.030470606120673	-6.110524484787045	-5.8004254601130025	-5.843253982685946	-6.010924076162228
Epithelial cell signaling in Helicobacter pylori infection	-3.829977706861551	-4.910916578231365	-3.4407571824997056	-5.0105994417908795	-4.160286889763106
Epstein-Barr virus infection	-14.289973903726219	-17.581750811537933	-14.987577519362805	-17.765739427022336	-16.473532005463532
ErbB signaling pathway	-3.7225505603020914	-4.47554545910785	-3.3432871703186007	-4.034650879616019	-3.497943482428084
Estrogen signaling pathway	-2.299304468610575	-3.111618700703206	-2.010118616682975	-3.0689896754012063	-2.358656988332494
Ether lipid metabolism	-0.2040036482775098	-0.21688617065872237	-0.2287156762653563	-0.18436913998637153	-0.1893493557471813
Fanconi anemia pathway	-0.7393405154123294	-0.9127370100386623	-0.732881884807041	-0.805348346205659	-0.8034876444286165
Fat digestion and absorption	-0.014069550385178747	-0.0161668196679694	-0.026216078205597567	-0.023118885852029404	-0.021415780738087187
Fatty acid biosynthesis	-0.6330851500016099	-0.5016866656698984	-0.5284473377832014	-0.5776063387011606	-0.583112859245445
Fatty acid degradation	-1.8957565431032908	-1.5618307795555775	-1.637709189570236	-2.0712528450914127	-1.4450386036377008
Fatty acid elongation	-1.6348433023501987	-1.952376913773844	-1.6130619841715879	-2.4172048917648725	-1.770200947537538
Fc epsilon RI signaling pathway	-1.5387275794299595	-1.9986836214480375	-1.396913304421101	-2.3928418426558755	-1.889956225220837
Fc gamma R-mediated phagocytosis	-4.366605802351396	-4.700127999367503	-4.504806876383517	-5.862111282171481	-4.995974642564504
Ferroptosis	-4.196396484469231	-3.4304121703328465	-4.105166979729723	-3.4944045664127628	-5.240904136206
Fluid shear stress and atherosclerosis	-8.342766318938011	-9.578525320240754	-7.68126559590725	-9.120966044529714	-7.4283245559899775
Focal adhesion	-8.81556393046247	-16.741952993443405	-8.651921457950072	-18.337466492863893	-8.69163003550503
Folate biosynthesis	-0.4235406221113769	-0.3212638340221426	-0.44216332559740473	-0.41609853541768965	-0.5739533120351498
FoxO signaling pathway	-4.008205904999974	-6.856821882067721	-4.004025220045961	-6.298239318423814	-4.437945086564099
Fructose and mannose metabolism	-1.522720900756007	-1.3366555186282132	-1.7272639256795088	-1.223210345437909	-1.713403161395442
GABAergic synapse	-0.1160695041891604	-0.3167962923196796	-0.1401753971503182	-0.3441185189283125	-0.12407038682454022
Galactose metabolism	-0.9826394200006813	-1.0666233805748024	-1.0939105061422347	-1.0375139911465479	-0.9885380677912972
Gap junction	-1.9452116151300964	-3.346187337367747	-1.7939457985828609	-3.538947722068882	-1.5647644629435342
Gastric acid secretion	-0.7113687462964882	-0.8729974093687908	-0.6724785254918756	-0.9238324521951344	-0.6571237882752787
Gastric cancer	-1.0565698140225277	-1.546929327123681	-1.1536315055012545	-1.5954498553325815	-1.0258025402754116
Glioma	-3.742848514370824	-4.791857565232475	-3.3736948097403063	-4.726489527935679	-3.503061992805161
Glucagon signaling pathway	-1.889837146967147	-3.2921930532713244	-1.9596768551731316	-3.0168587288688595	-1.6432712113560939
Glutamatergic synapse	-0.2971713209311208	-0.5487103413292892	-0.3479749742648159	-0.5640315233061031	-0.25717966654723773
Glutathione metabolism	-4.390837223531475	-2.5775999350062215	-4.094648243463326	-2.463080147789464	-4.2770114835772
Glycerolipid metabolism	-0.31368302766009637	-0.3538807311974055	-0.2838313954381969	-0.34276127300448805	-0.31576543852138034
Glycerophospholipid metabolism	-0.8672296906280702	-1.0559971025166988	-0.8988673746619247	-0.9614165062644628	-1.042329390755042
Glycine, serine and threonine metabolism	-0.9144151171906023	-0.8226392986764413	-0.9241543905763934	-0.7242068882343884	-0.8859813351648214
Glycolysis / Gluconeogenesis	-2.5500039942766284	-2.1261698361687222	-2.3573843844897886	-2.245124435995369	-2.32768692259276
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	-0.7492933878738212	-1.1616200915009336	-0.8453297508336067	-1.5035585648192997	-0.7841989598497597
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	-0.41214003137507593	-0.6547896605672299	-0.5117051468302565	-0.8443145888742805	-0.46858687449271413
Glycosaminoglycan biosynthesis - keratan sulfate	-0.8060548651444174	-0.9069532564702149	-0.9528861482063034	-0.9521352173125213	-1.6160475645092982
Glycosaminoglycan degradation	-1.0062977390987045	-1.333238610035153	-1.3023103998291323	-1.436198293486684	-1.1706421480575158
Glycosphingolipid biosynthesis - ganglio series	-0.7207099422860345	-1.0546137638516393	-0.810312059046949	-1.0729467194042384	-0.9446567848026749
Glycosphingolipid biosynthesis - globo and isoglobo series	-0.6401326278743221	-0.5892585325798866	-0.7282396821456641	-0.7774024887720404	-0.896534868560775
Glycosphingolipid biosynthesis - lacto and neolacto series	-0.36740848558489675	-0.21685984254720475	-0.3657205898687565	-0.2528668158563233	-0.6170181340442332
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	-1.6656280962860601	-1.5082722796214514	-1.50025179732299	-1.5031874361121833	-1.5619028393400989
Glyoxylate and dicarboxylate metabolism	-2.42607035802075	-2.085482135270937	-2.2974549114421423	-1.8506624739702386	-2.212865931070009
GnRH signaling pathway	-1.8393897163264337	-3.0734705371071107	-1.885145436717739	-2.8809458774055594	-1.6804169875617274
Graft-versus-host disease	-1.6404575451858896	-1.180025825960928	-1.7320089604996238	-2.1442035219489335	-3.9908828079524574
HIF-1 signaling pathway	-3.632866673919169	-5.978739093632093	-3.956605762055917	-6.263990978618597	-4.139340974074375
HTLV-I infection	-8.671469651109668	-9.725972605830133	-9.087818136399124	-10.31469928712714	-10.423298689023019
Hedgehog signaling pathway	-1.297262953966604	-2.049054665909613	-1.1198923516986694	-2.1495432472537934	-1.0434781692002337
Hematopoietic cell lineage	-0.48433999039298725	-0.3795655666583819	-0.5189307565000969	-0.746185964599911	-1.3358582434059372
Hepatitis B	-3.749374114372744	-5.412649977071563	-3.5857506673875283	-4.96025654216562	-4.202185316176183
Hepatitis C	-2.621103801588193	-2.809619773438294	-2.7007455328265606	-2.136287017501527	-2.7830562562631767
Hepatocellular carcinoma	-6.223839153471162	-6.200977287469113	-5.999344618433276	-6.253542529385823	-5.423756661931504
Herpes simplex infection	-5.557061401559695	-6.000535409678318	-5.784733849846115	-5.935295239803666	-7.748144588798521
Hippo signaling pathway	-3.873500311068077	-3.035623997588688	-3.8664548253245523	-3.793730740770833	-2.5588887136032845
Hippo signaling pathway - multiple species	-1.149815821335023	-2.0393116676555785	-1.07195314995285	-1.8426645926704646	-1.0128006909871567
Histidine metabolism	-0.9689738896356763	-0.6047941622562971	-0.8857513022606605	-0.6770744269500039	-0.8540894526507004
Homologous recombination	-0.7649795398155292	-0.8477345865772784	-0.762370871130848	-0.7418308907375595	-0.8315177974104283
Human papillomavirus infection	-6.503122561214322	-9.496614019462196	-6.772008921745214	-9.462919221342087	-6.499258815321114
Huntington's disease	-21.644393902665033	-16.996399439797464	-20.683914071957382	-16.622566734433597	-20.561241242425012
Hypertrophic cardiomyopathy (HCM)	-0.7027128456534889	-2.170701184124305	-0.7050682004545601	-1.97553787267765	-0.7014062247679709
IL-17 signaling pathway	-0.5861875797225575	-0.9440626215661221	-0.7637728525033635	-0.4970599923371875	-1.1364135355710943
Inflammatory bowel disease (IBD)	-0.5889757981130516	-0.4505365671768894	-0.5470503005905968	-0.8166017874595267	-1.491032858376154
Inflammatory mediator regulation of TRP channels	-0.9511228929220105	-1.2593748044590525	-0.9520390259031146	-1.3157167356824868	-0.818981725173866
Influenza A	-4.528023090225032	-4.148730014501426	-4.3178028286651795	-4.3369336500266344	-6.310830090656144
Inositol phosphate metabolism	-2.3061709191946163	-2.6311512857689694	-2.092672239932639	-2.8009402123491918	-2.233291758627002
Insulin resistance	-3.5465456640245594	-4.254320823333036	-3.4783878288238403	-4.051596300805267	-3.380812985640516
Insulin secretion	-0.19532379492951402	-0.528108307645545	-0.2541117739152077	-0.5114895192721796	-0.18848464640265017
Insulin signaling pathway	-4.5690362529859945	-6.773112470138609	-4.481909502164844	-6.141430364353189	-4.784642241967253
Intestinal immune network for IgA production	-0.593819182229331	-0.4020315073717813	-0.7682603062892001	-0.8624695247287547	-1.7634640876964265
Jak-STAT signaling pathway	-0.17889501143792366	-0.482176920334723	-0.1204928461973004	-0.446093762083051	-0.25776947605890116
Kaposi's sarcoma-associated herpesvirus infection	-3.9642531874642137	-6.336172375901809	-3.8183415984740803	-5.710933923436783	-4.946797187277235
Legionellosis	-3.474442114159975	-2.8051249190105563	-3.746657062023244	-3.1552761051539364	-4.219276432411827
Leishmaniasis	-2.8384210440153836	-2.6990785328102893	-2.952600381620834	-3.641378165395869	-4.586319648631888
Leukocyte transendothelial migration	-3.611096667387447	-4.516762777883044	-3.5969035639002582	-5.374587222324001	-4.175351603499093
Linoleic acid metabolism	-0.0063101529703097434	-0.027281990484524545	-0.01942376508568915	-0.006124332771306132	-0.007419752510109538
Lipoic acid metabolism	-0.4005622761298873	-0.31031700037200416	-0.37126723726507166	-0.3242532689728925	-0.4066548652201124
Long-term depression	-1.2997836794637967	-1.886353656139158	-1.1821797566233314	-1.9565575003438485	-1.045811429258779
Long-term potentiation	-1.6010488902634366	-2.178840584157401	-1.447151821114066	-2.2335659187751817	-1.503621869607497
Longevity regulating pathway	-3.160370364579567	-5.44818011219083	-3.072425233756859	-5.828689404196799	-3.315633185820008
Longevity regulating pathway - multiple species	-3.0052558248677226	-4.250704302886713	-2.850798036597972	-4.545302256555032	-3.039555300888133
Lysine degradation	-2.756358894351938	-3.491361006678974	-2.670986303568636	-3.1627984503082383	-2.5279336068843303
Lysosome	-11.453317354212137	-11.893713895785417	-11.176574579426738	-11.187784669498797	-12.974732262407926
MAPK signaling pathway	-3.1288092515309476	-5.92811270728181	-3.326241582266108	-6.057982872691333	-2.8569811187208254
Malaria	-0.5343846712401362	-2.010769038688484	-0.5446883394969122	-1.8164017718891634	-0.6762495380004551
Mannose type O-glycan biosynthesis	-0.47466150328059675	-0.5233357602828386	-0.525941152392009	-0.6186113133358566	-0.6222643105105997
Maturity onset diabetes of the young	-0.004057138404568022	-0.008700689926257704	-0.013160674675947164	-0.0047807793573156	-0.016630934147375407
Measles	-1.4565483085428428	-1.5676527775449378	-1.3906137952818725	-1.783627216404081	-2.2217232064340906
Melanogenesis	-0.9252042559066089	-1.1801012604479972	-0.9661938470650571	-1.5007221347999993	-0.748051375340338
Melanoma	-1.8534295025152723	-2.3852886922203367	-1.749827169338626	-2.4304880860550373	-1.7512601215876793
Metabolic pathways	-20.535036888051632	-16.069346939702566	-21.1648512772603	-17.960379364931754	-21.840369284257243
Metabolism of xenobiotics by cytochrome P450	-0.41080002417468514	-0.15591215480644893	-0.31290664757210473	-0.264336503226606	-0.2337668743705131
MicroRNAs in cancer	-4.447250931741255	-7.351432707626139	-4.2408526562977995	-7.581072001301023	-4.348477161835661
Mineral absorption	-0.7193210264909343	-0.8477571221680266	-0.9371309695739573	-0.8683941268836952	-1.2644264575034545
Mismatch repair	-1.8031994204506967	-1.529655295450939	-1.7338169176051546	-1.4818010229147769	-1.6297361627006233
Mitophagy - animal	-7.6868205386167645	-9.765429876747488	-7.04952455651895	-9.100372166575163	-7.7534766042789345
Morphine addiction	-0.06043878536553564	-0.17631477855356403	-0.10820771076987018	-0.2270632694052239	-0.07409176029410966
Mucin type O-glycan biosynthesis	-0.41045425023727344	-0.15306475796363217	-0.41941161467583354	-0.15750215156657052	-0.5308840624699801
N-Glycan biosynthesis	-3.5689495825759545	-3.154564066209907	-3.5332651749840123	-3.447941918404857	-3.624920349995195
NF-kappa B signaling pathway	-1.9514575358143866	-2.490318162256795	-2.2772101952565316	-2.6043522069411362	-2.699650093312739
NOD-like receptor signaling pathway	-2.331675757496082	-3.393659670487769	-2.5082255018602333	-3.307150860306867	-3.4938337254416525
Natural killer cell mediated cytotoxicity	-0.2357586834410159	-0.3271625304571405	-0.2504216211711308	-0.5450267159791526	-0.719080642253123
Necroptosis	-3.218574923729637	-3.467942613529034	-3.35293186377825	-3.4823384689009975	-4.016044030989291
Neomycin, kanamycin and gentamicin biosynthesis	-0.2848183768618144	-0.2808597329180519	-0.3101096496131571	-0.3069377645662891	-0.29605715704971286
Neuroactive ligand-receptor interaction	-0.016552819356140794	-0.001585779575214006	-0.011177378283019332	-0.002167566818844497	-0.009605401639289725
Neurotrophin signaling pathway	-5.007822421446729	-6.5575954886906676	-4.765867688379298	-6.913518839031425	-5.05018464054439
Nicotinate and nicotinamide metabolism	-0.695351550017222	-0.9557777717677308	-0.7524738735605176	-1.095601084388923	-0.781051745018069
Nicotine addiction	-0.01911988705919393	-0.007591548506842144	-0.02600706433533728	-0.02334988826514164	-0.024977423595750958
Nitrogen metabolism	-0.19809636765820962	-0.21768514611265072	-0.2423522676948539	-0.2468465892056931	-0.22983981563907396
Non-alcoholic fatty liver disease (NAFLD)	-15.2077308688817	-16.593938994088163	-15.880176995064744	-15.68237948734317	-16.044804347949853
Non-homologous end-joining	-0.7370845589544676	-0.770149298143263	-0.6545572582967065	-0.7570110879829367	-0.782599294481857
Non-small cell lung cancer	-4.5303224492644185	-5.039538030722423	-4.3278253158315305	-4.940317680755894	-4.461319233088367
Notch signaling pathway	-3.4841049447132484	-4.419747179989491	-3.5490663031631655	-4.144746084670339	-3.178004436802538
Nucleotide excision repair	-3.3793274467882304	-3.235351152516742	-3.270623578016735	-3.080812166487112	-3.2957635322747048
Olfactory transduction	-0.0010160304721182614	-0.0008570154601535644	-0.000934622323182433	-0.0011391282220138369	-0.0004625722294855373
One carbon pool by folate	-0.905001684405018	-0.873004900568361	-0.9945533985200301	-0.8436689228754193	-1.1132016855102023
Oocyte meiosis	-2.2873807718017933	-3.1225572155889822	-2.043867224205916	-3.117997033107032	-2.5605840561156414
Osteoclast differentiation	-2.34503606575155	-3.954660960053114	-2.6913128143349025	-3.9374813917013833	-2.898408015344205
Other glycan degradation	-1.8515462548435186	-1.8924679986559212	-2.2024742912010296	-1.6578968762053137	-2.140459079378672
Other types of O-glycan biosynthesis	-1.709777631376234	-1.7202837351642535	-1.8475982092576777	-1.844411239907026	-1.40210009000823
Ovarian steroidogenesis	-0.0757907219953874	-0.15065559851762889	-0.07438712393775301	-0.1675534354546997	-0.0658036126230412
Oxidative phosphorylation	-18.069343591269853	-17.381640810084704	-18.556608059132095	-16.98923857071639	-19.45420893810425
Oxytocin signaling pathway	-1.7222922513672765	-3.54445345774076	-1.716327009728743	-3.088665589822569	-1.5492044807814365
PI3K-Akt signaling pathway	-2.2064321026609783	-5.948911799980648	-2.3206741172787377	-6.889172057712737	-2.501037535573108
PPAR signaling pathway	-0.5169706120489637	-0.4764295241570845	-0.6193581365241199	-0.5337149493969198	-0.43385141988583226
Pancreatic cancer	-5.163853468111466	-6.899999513018178	-4.935524318992775	-6.601271137408045	-5.383981261263058
Pancreatic secretion	-0.12414021300129995	-0.24224719416247598	-0.12920912929306216	-0.3509631413271774	-0.1872832306234646
Pantothenate and CoA biosynthesis	-0.495173993824791	-0.3909155888410176	-0.3816021394441315	-0.32783865639949294	-0.563978697493264
Parkinson's disease	-16.76464646595876	-18.39000755502253	-17.644940203310966	-18.361658460597905	-17.995153924661548
Pathogenic Escherichia coli infection	-8.17348843422373	-7.474130751666198	-8.006149025051151	-7.766283632096223	-7.927321992492557
Pathways in cancer	-5.946470108164849	-8.464235242979555	-6.101851556928837	-9.311428578768018	-5.632177262496835
Pentose and glucuronate interconversions	-0.11677066981463004	-0.038549192491676765	-0.10032667237035034	-0.09481730420851328	-0.0672561563151784
Pentose phosphate pathway	-1.7357253481810666	-1.8682422698649817	-1.7619647587843132	-1.926342088782672	-1.8322145669536094
Peroxisome	-3.0360952874873743	-2.521352849144064	-2.7761678338649123	-2.5505669168386493	-2.7634183534822783
Pertussis	-2.8594326340432876	-3.5483217765735517	-3.0487971550971036	-3.460979976319035	-3.9823438589876314
Phagosome	-7.810970015820976	-9.241869972729866	-7.731837429435506	-10.806260755467259	-9.967357140895023
Phenylalanine metabolism	-0.71371384432265	-0.5080964635912404	-0.7616891889434041	-0.49794604313913526	-0.6936159723100122
Phenylalanine, tyrosine and tryptophan biosynthesis	-0.3791551824415993	-0.2770726562011162	-0.48294760064394837	-0.2673787218584969	-0.5424182404495582
Phosphatidylinositol signaling system	-2.233986745287503	-2.8242307984448725	-1.901716141049553	-3.160614580668114	-2.1109382134538643
Phospholipase D signaling pathway	-1.6715133762730663	-3.3535417847582343	-1.5747415267462075	-4.182989446195741	-1.584854049699862
Phosphonate and phosphinate metabolism	-0.9206145103907337	-0.6863899639005506	-0.6909096094838149	-0.7247130052509543	-0.7383242229642267
Phototransduction	-0.22053614951645023	-0.19526197973922677	-0.18635134056301894	-0.21099256396847627	-0.160514925149135
Platelet activation	-2.813678858057251	-5.031395996883326	-2.7489835396925915	-5.740648738999156	-3.3178208793357298
Platinum drug resistance	-4.93507228398803	-3.403070660279067	-4.305696291654396	-3.093900371746048	-4.916381845067387
Porphyrin and chlorophyll metabolism	-0.10862866275731944	-0.09578254994013204	-0.15775297354176165	-0.12221540524120299	-0.19698625076668846
Primary bile acid biosynthesis	-0.2819405802628612	-0.3077408769599556	-0.321327617085453	-0.22937291321755546	-0.26326299903922973
